generation,leftchild,rightchild,abstime,betainit,betashift
5000,Suncus_malayanus,Crocidura_russula,234.276,15486.2,0.0106088
5000,Rhinopoma_microphyllum,Rhinopoma_hadramauticum,240.824,44236.4,0.0149906
5000,Pteropus_poliocephalus,NA,245.452,116353,-0.0204584
5000,Eonycteris_spelaea,Scotonycteris_occidentalis,230.234,39105.1,-0.00655233
5000,Erophylla_sezekorni,Erophylla_bombifrons,243.907,81612.9,0.00858289
5000,Parastrellus_hesperus,NA,239.371,54049.7,0.0169737
5000,Vicugna_vicugna,Camelus_ferus,228.628,597567,0.334974
5000,Tragelaphus_imberbis,Pseudoryx_nghetinhensis,237.131,461197,0.774495
5000,Galagoides_thomasi,NA,241.18,203935,0.00451792
5000,Cheirogaleus_sibreei,Lepilemur_mustelinus,228.416,29338.9,-0.00998936
5000,Tarsius_dentatus,Tarsius_wallacei,216.578,114094,-0.00411714
5000,Leontopithecus_rosalia,Leontopithecus_chrysomelas,241.535,66680.7,0.00932727
5000,Colobus_satanas,Colobus_angolensis,243.86,183990,-0.0128066
5000,Tarsius_dentatus,Aotus_trivirgatus,185.316,247332,0.298175
5000,Protoxerus_stangeri,Heliosciurus_undulatus,232.928,28104.6,-0.00837937
5000,Dryomys_nitedula,NA,241.958,19331.5,0.00205069
5000,Laonastes_aenigmamus,Massoutiera_mzabi,213.18,24031.3,0.00286495
5000,Phyllomys_mantiqueirensis,Phyllomys_pattoni,242.139,29615.5,0.00318094
5000,Dactylomys_dactylinus,Dactylomys_boliviensis,239.728,6119.26,0.000355116
5000,Tympanoctomys_loschalchalerosorum,Octodontomys_gliroides,239.738,51508.7,0.00381887
5000,Anomalurus_beecrofti,Pedetes_capensis,211.88,39723.2,-0.000240625
5000,Osgoodomys_banderanus,Peromyscus_hooperi,238.773,10961.6,0.000878108
5000,Neotoma_mexicana,Neotoma_lepida,238.352,11151.1,0.00991744
5000,Brachytarsomys_albicauda,Eliurus_ellermani,231.804,25640.2,0.00370248
5000,Sigmodon_leucotis,Sigmodon_peruanus,237.581,24650.1,-0.0130266
5000,Irenomys_tarsalis,NA,243.074,215507,0.0019254
5000,Juscelinomys_huanchacae,Rhipidomys_nitela,234.721,264361,-0.0094243
5000,Neacomys_dubosti,NA,243.588,96686.3,0.014972
5000,Sigmodon_leucotis,Delomys_collinus,224.298,131429,-0.345902
5000,Chiropodomys_gliroides,NA,236.928,107335,0.0128475
5000,Soricomys_musseri,Chiruromys_vates,235.281,16299.1,0.0052957
5000,Millardia_meltada,Otomys_denti,230.802,24403.3,0.011052
5000,Taeromys_celebensis,Paruromys_dominator,243.636,27645.2,-0.00651933
5000,Calomyscus_hotsoni,Calomyscus_bailwardi,213.089,556.246,-0.010949
5000,Chaetodipus_nelsoni,Chaetodipus_formosus,237.883,134962,0.0173181
5000,Elephantulus_intufi,Solenodon_paradoxus,156.696,322434,0.644663
5000,Rhyncholestes_raphanurus,Elephantulus_intufi,7.08368,178969,0.437611
5000,Ornithorhynchus_anatinus,NA,226.833,96925.3,0.157118
6000,Rhyncholestes_raphanurus,Ornithorhynchus_anatinus,0,1.54111,0.11594
6000,Rhyncholestes_raphanurus,Caenolestes_convelatus,183.162,30442.2,-0.0243803
6000,Marmosops_invictus,Marmosops_paulensis,235.175,125665,0.0143612
6000,Glironia_venusta,Caluromysiops_irrupta,195.948,2724.49,0.00352841
6000,Rhynchocyon_udzungwensis,Rhynchocyon_petersi,209.624,111543,-0.0182533
6000,Microgale_principula,Microgale_longicaudata,224.262,51191.6,0.00950859
6000,Talpa_levantis,Mogera_insularis,226.823,1903.1,-0.00680714
6000,Hylomys_megalotis,Erinaceus_roumanicus,209.701,51892.1,-0.0097443
6000,Sylvisorex_johnstoni,Sylvisorex_lunaris,234.127,6181.03,-0.0171711
6000,Crocidura_levicula,Crocidura_zarudnyi,236.695,8768.18,-0.0547863
6000,Suncus_malayanus,Crocidura_russula,230.733,15486.2,0.0106088
6000,Neomys_teres,Neomys_anomalus,244.786,143681,-0.0265092
6000,Chodsigoa_parca,NA,243.59,1446.42,-0.014663
6000,Rhinopoma_muscatellum,Rhinopoma_microphyllum,235.133,44236.4,0.0149906
6000,Pteropus_poliocephalus,NA,245.452,105557,-0.0204584
6000,Eonycteris_spelaea,Scotonycteris_occidentalis,230.234,39105.1,-0.00655233
6000,Erophylla_sezekorni,Erophylla_bombifrons,243.907,81612.9,0.00858289
6000,Parastrellus_hesperus,NA,239.371,44728.8,0.0169737
6000,Histiotus_magellanicus,Eptesicus_hottentotus,243.967,46186.7,-0.00565175
6000,Poiana_richardsonii,NA,244.358,43391.3,0.0107418
6000,Vicugna_vicugna,Camelus_ferus,228.628,597567,0.334974
6000,Moschus_leucogaster,Tragelaphus_imberbis,234.228,461197,0.774495
6000,Galagoides_thomasi,NA,241.18,257751,0.00451792
6000,Cheirogaleus_sibreei,Lepilemur_mustelinus,228.416,29338.9,-0.00998936
6000,Tarsius_dentatus,Tarsius_wallacei,213.781,114094,-0.00411714
6000,Leontopithecus_rosalia,Leontopithecus_chrysomelas,238.731,66680.7,0.00932727
6000,Cercocebus_chrysogaster,Cercocebus_agilis,246.218,97124.4,0.00435804
6000,Protoxerus_stangeri,Heliosciurus_undulatus,232.928,28104.6,-0.00837937
6000,Dryomys_nitedula,NA,241.958,19331.5,0.00205069
6000,Laonastes_aenigmamus,Massoutiera_mzabi,213.18,24031.3,0.00286495
6000,Phyllomys_mantiqueirensis,Phyllomys_pattoni,242.139,26485.3,0.00318094
6000,Dactylomys_dactylinus,Dactylomys_boliviensis,240.055,6119.26,0.000355116
6000,Proechimys_quadruplicatus,Proechimys_brevicauda,241.972,24845.1,0.010931
6000,Tympanoctomys_loschalchalerosorum,Octodontomys_gliroides,239.738,33389.5,0.00381887
6000,Anomalurus_beecrofti,Pedetes_capensis,209.076,39723.2,-0.000240625
6000,Jaculus_blanfordi,Jaculus_jaculus,243.635,81373.9,-0.0135523
6000,Osgoodomys_banderanus,Peromyscus_hooperi,238.773,10961.6,0.000878108
6000,Neotoma_mexicana,Neotoma_lepida,238.352,11151.1,0.00991744
6000,Brachytarsomys_albicauda,Eliurus_ellermani,231.804,25640.2,0.00370248
6000,Sigmodon_leucotis,Sigmodon_alstoni,240.536,24650.1,-0.0130266
6000,Irenomys_tarsalis,NA,243.074,215507,0.0019254
6000,Sigmodon_leucotis,Delomys_collinus,224.298,131429,-0.345902
6000,Soricomys_musseri,Chiruromys_vates,233.769,16299.1,0.0052957
6000,Millardia_meltada,Otomys_denti,230.802,24403.3,0.011052
6000,Taeromys_celebensis,Paruromys_dominator,243.636,34801.3,-0.00651933
6000,Gerbillus_gerbillus,Gerbillus_cheesmani,244.434,36625.2,-0.00587189
6000,Calomyscus_hotsoni,Calomyscus_bailwardi,213.089,556.246,-0.010949
6000,Chaetodipus_nelsoni,Chaetodipus_formosus,237.883,83037.5,0.0173181
6000,Perognathus_merriami,Perognathus_flavus,239.828,45454.4,0.0120826
6000,Elephantulus_intufi,Solenodon_paradoxus,156.696,322434,0.644663
6000,Rhyncholestes_raphanurus,Elephantulus_intufi,7.08368,178969,0.244036
6000,Ornithorhynchus_anatinus,NA,226.833,96925.3,0.157118
7000,Rhyncholestes_raphanurus,Ornithorhynchus_anatinus,0,1.54111,0.11594
7000,Rhyncholestes_raphanurus,Caenolestes_convelatus,188.521,30442.2,-0.0243803
7000,Glironia_venusta,Caluromysiops_irrupta,195.948,2724.49,0.00352841
7000,Macrotis_lagotis,NA,228.268,11865.1,0.0011554
7000,Tarsipes_rostratus,NA,216.627,209770,0.00807618
7000,Rhynchocyon_udzungwensis,Rhynchocyon_petersi,207.769,42644,0.00693079
7000,Rhynchocyon_udzungwensis,Rhynchocyon_petersi,209.624,111543,-0.0182533
