"Comb_sciname" "BodyMass"
"538" "Phyllodactylus_pulcher" "7.5"
"539" "Phyllodactylus_inaequalis" "2"
"540" "Phyllodactylus_sentosus" "4.6"
"541" "Phyllodactylus_insularis" "8.6"
"542" "Phyllodactylus_interandinus" "2.8"
"543" "Phyllodactylus_johnwrighti" "3.3"
"544" "Phyllodactylus_muralis" "6.9"
"545" "Phyllodactylus_tuberculosus" "25.6"
"546" "Phyllodactylus_lepidopygus" "4.4"
"547" "Phyllodactylus_palmeus" "11.4"
"548" "Phyllodactylus_microphyllus" "5.1"
"549" "Phyllodactylus_rutteni" "3.5"
"550" "Phyllodactylus_papenfussi" "1.3"
"551" "Phyllodactylus_ventralis" "11"
"552" "Phyllodactylus_paralepis" "9.1"
"553" "Phyllodactylus_transversalis" "4.9"
"554" "Phyllodactylus_wirshingi" "7.5"
"555" "Gymnodactylus_amarali" "4.3"
"556" "Gymnodactylus_geckoides" "4.3"
"557" "Gymnodactylus_guttulatus" "3.2"
"558" "Gymnodactylus_vanzolinii" "3.8"
"559" "Gymnodactylus_darwinii" "5.1"
"560" "Phyllopezus_lutzae" "8.5"
"561" "Phyllopezus_maranjonensis" "38.6"
"562" "Phyllopezus_periosus" "50.9"
"563" "Phyllopezus_pollicaris" "22"
"564" "Tarentola_albertschwartzi" "64.7"
"565" "Tarentola_angustimentalis" "13.3"
"566" "Tarentola_mauritanica" "16.4"
"567" "Tarentola_boehmei" "14"
"568" "Tarentola_deserti" "28.2"
"569" "Tarentola_fascicularis" "16.4"
"570" "Tarentola_mindiae" "13.8"
"571" "Tarentola_neglecta" "10.2"
"572" "Tarentola_crombiei" "5.1"
"573" "Tarentola_annularis" "68.9"
"574" "Tarentola_ephippiata" "55.4"
"575" "Tarentola_boavistensis" "12.8"
"576" "Tarentola_bocagei" "7.4"
"577" "Tarentola_darwini" "13.3"
"578" "Tarentola_caboverdiana" "10.1"
"579" "Tarentola_raziana" "3.2"
"580" "Tarentola_substituta" "7.4"
"581" "Tarentola_fogoensis" "8.8"
"582" "Tarentola_gigas" "93"
"583" "Tarentola_maioensis" "9.3"
"584" "Tarentola_protogigas" "24.5"
"585" "Tarentola_rudis" "14.8"
"586" "Tarentola_nicolauensis" "9.3"
"587" "Tarentola_gomerensis" "11.4"
"588" "Tarentola_bischoffi" "10.8"
"589" "Tarentola_chazaliae" "10.5"
"590" "Tarentola_delalandii" "15.3"
"591" "Tarentola_pastoria" "33.9"
"592" "Tarentola_parvicarinata" "23.4"
"593" "Tarentola_americana" "43.8"
"594" "Cnemaspis_alwisi" "1.5"
"595" "Cnemaspis_nilagirica" "1.8"
"596" "Cnemaspis_clivicola" "1.1"
"597" "Cnemaspis_amith" "0.9"
"598" "Cnemaspis_silvula" "1.1"
"599" "Cnemaspis_anaikattiensis" "5.1"
"600" "Cnemaspis_littoralis" "1"
"601" "Cnemaspis_andersonii" "0.8"
"602" "Cnemaspis_girii" "0.9"
"603" "Cnemaspis_australis" "0.7"
"604" "Cnemaspis_beddomei" "3"
"605" "Cnemaspis_boiei" "1.4"
"606" "Cnemaspis_kottiyoorensis" "1.7"
"607" "Cnemaspis_gemunu" "1"
"608" "Cnemaspis_wynadensis" "1.7"
"609" "Cnemaspis_podihuna" "0.5"
"610" "Cnemaspis_scalpensis" "1.2"
"611" "Cnemaspis_indica" "1.6"
"612" "Cnemaspis_gracilis" "1.5"
