"Species3" "Mass"
"378" "Nettapus_auritus" 266
"379" "Nettapus_coromandelianus" 391.33
"380" "Nettapus_pulchellus" 306.98
"381" "Nomonyx_dominicus" 364.97
"382" "Oxyura_australis" 798
"383" "Oxyura_jamaicensis" 608.15
"384" "Oxyura_leucocephala" 661.09
"385" "Oxyura_maccoa" 674
"386" "Oxyura_vittata" 642.68
"387" "Plectropterus_gambensis" 3869
"388" "Polysticta_stelleri" 806.76
"389" "Pteronetta_hartlaubii" 790
"390" "Salvadorina_waigiuensis" 324
"391" "Sarkidiornis_melanotos" 2610
"392" "Somateria_fischeri" 1557.16
"393" "Somateria_mollissima" 2060.93
"394" "Somateria_spectabilis" 1616.71
"395" "Speculanas_specularis" 1496.07
"396" "Stictonetta_naevosa" 903.27
"397" "Tachyeres_brachypterus" 3450
"398" "Tachyeres_leucocephalus" 3013
"399" "Tachyeres_patachonicus" 2821.55
"400" "Tachyeres_pteneres" 4737.59
"401" "Tadorna_cana" 1182
"402" "Tadorna_ferruginea" 1235.03
"403" "Tadorna_radjah" 885.22
"404" "Tadorna_tadorna" 1146.83
"405" "Tadorna_tadornoides" 1418.68
"406" "Tadorna_variegata" 1540.95
"407" "Thalassornis_leuconotus" 707.5
"408" "Anhima_cornuta" 3150
"409" "Chauna_chavaria" 2557.64
"410" "Chauna_torquata" 4400
"411" "Anseranas_semipalmata" 2393.4
"412" "Aegotheles_albertisi" 35.2
"413" "Aegotheles_archboldi" 30.6
"414" "Aegotheles_bennettii" 60
"415" "Aegotheles_crinifrons" 136
"416" "Aegotheles_cristatus" 42.78
"417" "Aegotheles_insignis" 78.5
"418" "Aegotheles_savesi" 52
"419" "Aegotheles_tatei" 52
"420" "Aegotheles_wallacii" 50.73
"421" "Aeronautes_andecolus" 17.6
"422" "Aeronautes_montivagus" 20.14
"423" "Aeronautes_saxatalis" 32.1
"424" "Apus_acuticauda" 39.4
"425" "Apus_affinis" 22.57
"426" "Apus_alexandri" 41.9
"427" "Apus_apus" 37.6
"428" "Apus_balstoni" 42.8
"429" "Apus_barbatus" 42.8
"430" "Apus_batesi" 22.1
"431" "Apus_berliozi" 38.2
"432" "Apus_bradfieldi" 42.4
"433" "Apus_caffer" 22.1
"434" "Apus_horus" 27.45
"435" "Apus_niansae" 32.5
"436" "Apus_nipalensis" 29.82
"437" "Apus_pacificus" 39.43
"438" "Apus_pallidus" 41.9
"439" "Apus_sladeniae" 42.8
"440" "Apus_toulsoni" 27.45
"441" "Apus_unicolor" 22.5
"442" "Chaetura_brachyura" 18.3
"443" "Chaetura_chapmani" 23.83
"444" "Chaetura_cinereiventris" 13.9
"445" "Chaetura_egregia" 23.4
"446" "Chaetura_fumosa" 15.69
"447" "Chaetura_martinica" 12.5
"448" "Chaetura_meridionalis" 22.2
"449" "Chaetura_pelagica" 23.6
"450" "Chaetura_spinicaudus" 15.69
"451" "Chaetura_vauxi" 17.1
"452" "Chaetura_viridipennis" 23.83
"453" "Collocalia_amelis" 10.7
"454" "Collocalia_bartschi" 7.4
"455" "Collocalia_brevirostris" 13.42
"456" "Collocalia_elaphra" 10.7
"457" "Collocalia_esculenta" 6.29
"458" "Collocalia_francica" 8.9
"459" "Collocalia_fuciphaga" 10.7
"460" "Collocalia_germani" 10.7
"461" "Collocalia_hirundinacea" 10.1
"462" "Collocalia_infuscata" 13.4
"463" "Collocalia_inquieta" 11
"464" "Collocalia_leucophaea" 13.35
"465" "Collocalia_linchi" 5.9
"466" "Collocalia_maxima" 17
"467" "Collocalia_mearnsi" 11.3
"468" "Collocalia_nuditarsus" 13.35
"469" "Collocalia_ocista" 13.35
"470" "Collocalia_orientalis" 13.35
"471" "Collocalia_palawanensis" 10.7
"472" "Collocalia_papuensis" 19.9
"473" "Collocalia_pelewensis" 13.35
"474" "Collocalia_rogersi" 13.42
"475" "Collocalia_salangana" 11.3
"476" "Collocalia_sawtelli" 8.6
"477" "Collocalia_spodiopygia" 8.03
"478" "Collocalia_terraereginae" 12
"479" "Collocalia_troglodytes" 5.4
"480" "Collocalia_unicolor" 11
"481" "Collocalia_vanikorensis" 10.7
"482" "Collocalia_vulcanorum" 13.42
"483" "Collocalia_whiteheadi" 14
"484" "Cypseloides_cherriei" 22.1
"485" "Cypseloides_cryptus" 34.54
"486" "Cypseloides_fumigatus" 41.95
"487" "Cypseloides_lemosi" 28.1
"488" "Cypseloides_niger" 39.67
"489" "Cypseloides_rothschildi" 41.95
"490" "Cypseloides_senex" 82.25
"491" "Cypseloides_storeri" 39.5
"492" "Cypsiurus_balasiensis" 9.11
"493" "Cypsiurus_parvus" 13.6
"494" "Hirundapus_caudacutus" 95.5
"495" "Hirundapus_celebensis" 180
"496" "Hirundapus_cochinchinensis" 83.79
"497" "Hirundapus_giganteus" 127
"498" "Hydrochous_gigas" 35.8
"499" "Mearnsia_novaeguineae" 32.6
"500" "Mearnsia_picina" 42.5
"501" "Neafrapus_boehmi" 14.42
"502" "Neafrapus_cassini" 39.97
"503" "Panyptila_cayennensis" 21.1
"504" "Panyptila_sanctihieronymi" 48.1
"505" "Rhaphidura_leucopygialis" 13.6
"506" "Rhaphidura_sabini" 16
"507" "Schoutedenapus_myoptilus" 23.5
"508" "Schoutedenapus_schoutedeni" 23.5
"509" "Streptoprocne_biscutata" 95.81
"510" "Streptoprocne_phelpsi" 21.8
"511" "Streptoprocne_rutila" 20.2
"512" "Streptoprocne_semicollaris" 175
"513" "Streptoprocne_zonaris" 86.79
"514" "Tachornis_furcata" 6.5
"515" "Tachornis_phoenicobia" 10.2
"516" "Tachornis_squamata" 10.97
"517" "Tachymarptis_aequatorialis" 92.8
"518" "Tachymarptis_melba" 100.38
"519" "Telacanthura_melanopygia" 52
"520" "Telacanthura_ussheri" 32.61
"521" "Zoonavena_grandidieri" 8
"522" "Zoonavena_sylvatica" 16
"523" "Zoonavena_thomensis" 8
"524" "Hemiprocne_comata" 20.63
"525" "Hemiprocne_coronata" 29
"526" "Hemiprocne_longipennis" 42.8
"527" "Hemiprocne_mystacea" 70.1
"528" "Abeillia_abeillei" 2.7
"529" "Adelomyia_melanogenys" 4.93
"530" "Aglaeactis_aliciae" 7
"531" "Aglaeactis_castelnaudii" 6.7
"532" "Aglaeactis_cupripennis" 7.6
"533" "Aglaeactis_pamela" 5.5
"534" "Aglaiocercus_berlepschi" 4.97
"535" "Aglaiocercus_coelestis" 5.61
"536" "Aglaiocercus_kingi" 4.84
"537" "Amazilia_amabilis" 4.3
"538" "Amazilia_amazilia" 4.3
"539" "Amazilia_beryllina" 4.5
"540" "Amazilia_boucardi" 4.5
"541" "Amazilia_brevirostris" 4.3
"542" "Amazilia_candida" 3.8
"543" "Amazilia_castaneiventris" 5
"544" "Amazilia_chionogaster" 5.04
"545" "Amazilia_cyanifrons" 5
"546" "Amazilia_cyanocephala" 5.1
"547" "Amazilia_cyanura" 3.9
"548" "Amazilia_decora" 4.7
"549" "Amazilia_edward" 4.7
"550" "Amazilia_fimbriata" 4.9
"551" "Amazilia_franciae" 5
"552" "Amazilia_lactea" 4.6
"553" "Amazilia_leucogaster" 4.7
"554" "Amazilia_luciae" 4.5
"555" "Amazilia_rosenbergi" 3.7
"556" "Amazilia_rutila" 5.24
"557" "Amazilia_saucerrottei" 4.5
"558" "Amazilia_tobaci" 4.7
"559" "Amazilia_tzacatl" 4.79
"560" "Amazilia_versicolor" 4.1
"561" "Amazilia_violiceps" 5.1
"562" "Amazilia_viridicauda" 6.1
"563" "Amazilia_viridifrons" 6.3
"564" "Amazilia_viridigaster" 3.74
"565" "Amazilia_yucatanensis" 3.89
"566" "Androdon_aequatorialis" 7.3
"567" "Anopetia_gounellei" 3.2
"568" "Anthocephala_floriceps" 3.9
"569" "Anthracothorax_dominicus" 5.77
"570" "Anthracothorax_mango" 8.3
"571" "Anthracothorax_nigricollis" 7
"572" "Anthracothorax_prevostii" 6.4
"573" "Anthracothorax_veraguensis" 7
"574" "Anthracothorax_viridigula" 7.5
"575" "Anthracothorax_viridis" 6.6
"576" "Aphantochroa_cirrochloris" 7.7
"577" "Archilochus_alexandri" 3.39
"578" "Archilochus_colubris" 3.09
"579" "Atthis_ellioti" 2.9
"580" "Atthis_heloisa" 2.2
"581" "Augastes_lumachella" 4
"582" "Augastes_scutatus" 3
"583" "Avocettula_recurvirostris" 4.2
"584" "Boissonneaua_flavescens" 8.2
"585" "Boissonneaua_jardini" 9.1
"586" "Boissonneaua_matthewsii" 7.7
"587" "Calliphlox_amethystina" 2.8
"588" "Calliphlox_bryantae" 3.3
"589" "Calliphlox_evelynae" 2.4
"590" "Calliphlox_mitchellii" 3.1
