"Species" "Mass"
"324" "Sorex_bedfordiae" "10.4"
"325" "Sorex_cylindricauda" "6.1"
"326" "Sorex_roboratus" "8.2"
"327" "Sorex_raddei" "10"
"328" "Sorex_samniticus" "8.2"
"329" "Sorex_maritimensis" "8.195"
"330" "Sorex_arcticus" "8.195"
"331" "Sorex_tundrensis" "8.19"
"332" "Sorex_asper" "8.94"
"333" "Sorex_daphaenodon" "8.1"
"334" "Sorex_granarius" "6.3"
"335" "Sorex_satunini" "8.195"
"336" "Sorex_araneus" "8.195"
"337" "Sorex_antinorii" "8.195"
"338" "Sorex_coronatus" "8.4"
"339" "Sorex_hosonoi" "7.09"
"340" "Sorex_thibetanus" "4.2"
"341" "Sorex_yukonicus" "1.6"
"342" "Sorex_minutissimus" "2.46"
"343" "Sorex_gracillimus" "4.26"
"344" "Sorex_volnuchini" "4.2"
"345" "Sorex_minutus" "4.2"
"346" "Sorex_unguiculatus" "14.11"
"347" "Sorex_isodon" "12.23"
"348" "Sorex_shinto" "6.3"
"349" "Sorex_caecutiens" "5.85"
"350" "Sorex_mirabilis" "15"
"351" "Sorex_alpinus" "7.9"
"352" "Notiosorex_crawfordi" "4.15"
"353" "Notiosorex_cockrumi" "4"
"354" "Megasorex_gigas" "11.71"
"355" "Neomys_fodiens" "15.13"
"356" "Neomys_teres" "15.13"
"357" "Neomys_anomalus" "13.19"
"358" "Nectogale_elegans" "38.82"
"359" "Chimarrogale_phaeura" "31.47"
"360" "Chimarrogale_himalayica" "33.5"
"361" "Chimarrogale_styani" "32.86"
"362" "Chimarrogale_platycephalus" "36.32"
"363" "Episoriculus_fumidus" "6.95"
"364" "Chodsigoa_hypsibia" "8.157"
"365" "Chodsigoa_caovansunga" "6"
"366" "Chodsigoa_parca" "14.92"
"367" "Chodsigoa_sodalis" "4.9"
"368" "Soriculus_nigrescens" "14.58"
"369" "Episoriculus_macrurus" "8.157"
"370" "Episoriculus_leucops" "9.35"
"371" "Episoriculus_caudatus" "8.94"
"372" "Anourosorex_yamashinai" "20"
"373" "Anourosorex_squamipes" "20"
"374" "Solenodon_paradoxus" "900"
"375" "Rhinopoma_muscatellum" "9.13"
"376" "Rhinopoma_hardwickii" "12"
"377" "Rhinopoma_microphyllum" "28.02"
"378" "Rhinopoma_hadramauticum" "9.13"
"379" "Craseonycteris_thonglongyai" "1.98"
"380" "Cardioderma_cor" "26.45"
"381" "Megaderma_spasma" "38.6"
"382" "Macroderma_gigas" "139"
"383" "Rhinolophus_hipposideros" "4.585"
"384" "Rhinolophus_ruwenzorii" "30.69"
"385" "Rhinolophus_maclaudi" "35.84"
"386" "Rhinolophus_ferrumequinum" "22.875"
"387" "Rhinolophus_clivosus" "15.66"
"388" "Rhinolophus_hildebrandtii" "25.99"
"389" "Rhinolophus_smithersi" "25.99"
"390" "Rhinolophus_cohenae" "25.99"
"391" "Rhinolophus_mabuensis" "25.99"
"392" "Rhinolophus_darlingi" "8.94"
"393" "Rhinolophus_fumigatus" "13.09"
"394" "Rhinolophus_mossambicus" "25.99"
"395" "Rhinolophus_eloquens" "16.12"
"396" "Rhinolophus_capensis" "16.5"
"397" "Rhinolophus_swinnyi" "6.3"
"398" "Rhinolophus_simulator" "8.13"
"399" "Rhinolophus_denti" "6.15"
"401" "Rhinolophus_mehelyi" "14.03"
"402" "Rhinolophus_euryale" "8.725"
"403" "Rhinolophus_blasii" "11.145"
"404" "Rhinolophus_landeri" "9.39"
"405" "Rhinolophus_alcyone" "18.62"
"406" "Rhinolophus_yunanensis" "19.33"
"407" "Rhinolophus_pearsonii" "11.55"
"408" "Rhinolophus_subrufus" "24.25"
"409" "Rhinolophus_arcuatus" "8.98"
"410" "Rhinolophus_euryotis" "14.3"
