"Species" "Body_size_mm"
"375" "Atelopus_hoogmoedi" "41.2"
"376" "Atelopus_ignescens" "48.2"
"377" "Atelopus_laetissimus" "54.4"
"378" "Atelopus_limosus" "40.2"
"379" "Atelopus_longibrachius" "36.6"
"380" "Atelopus_longirostris" "47.1"
"381" "Atelopus_lozanoi" "38"
"382" "Atelopus_lynchi" "40.8"
"383" "Atelopus_mandingues" "36"
"384" "Atelopus_marinkellei" "48"
"385" "Atelopus_mindoensis" "29"
"386" "Atelopus_minutulus" "25.5"
"387" "Atelopus_monohernandezii" "40.5"
"388" "Atelopus_mucubajiensis" "44"
"389" "Atelopus_muisca" "42.4"
"390" "Atelopus_nahumae" "51"
"391" "Atelopus_nanay" "39.6"
"392" "Atelopus_nepiozomus" "32.4"
"393" "Atelopus_nicefori" "32.4"
"394" "Atelopus_oxapampae" "22.1"
"395" "Atelopus_oxyrhynchus" "49.8"
"396" "Atelopus_pachydermus" "57"
"397" "Atelopus_palmatus" "31.2"
"398" "Atelopus_patazensis" "48.8"
"399" "Atelopus_pedimarmoratus" "28.5"
"400" "Atelopus_peruensis" "45.2"
"401" "Atelopus_petriruizi" "20"
"402" "Atelopus_pictiventris" "38.4"
"403" "Atelopus_pinangoi" "41"
"404" "Atelopus_planispina" "36.5"
"405" "Atelopus_pulcher" "35.1"
"406" "Atelopus_quimbaya" "33.3"
"407" "Atelopus_reticulatus" "27.4"
"408" "Atelopus_sanjosei" "32.7"
"409" "Atelopus_seminiferus" "40"
"410" "Atelopus_senex" "43"
"411" "Atelopus_sernai" "33.3"
"412" "Atelopus_simulatus" "37.4"
"413" "Atelopus_siranus" "23.5"
"414" "Atelopus_sonsonensis" "31"
"415" "Atelopus_sorianoi" "49.1"
"416" "Atelopus_spumarius" "39.2"
"417" "Atelopus_spurrelli" "34"
"418" "Atelopus_subornatus" "39"
"419" "Atelopus_tricolor" "36"
"420" "Atelopus_varius" "60"
"421" "Atelopus_vogli" "39"
"422" "Atelopus_walkeri" "49.3"
"423" "Atelopus_zeteki" "63"
"424" "Bufo_aspinius" "95"
"425" "Bufo_bankorensis" "110"
"426" "Bufo_bufo" "150"
"427" "Bufo_gargarizans" "134"
"428" "Bufo_japonicus" "176"
"429" "Bufo_stejnegeri" "62"
"430" "Bufo_tibetanus" "72.2"
"431" "Bufo_torrenticola" "168"
"432" "Bufo_tuberculatus" "75"
"433" "Bufo_verrucosissimus" "190"
"434" "Capensibufo_rosei" "39"
"435" "Capensibufo_tradouwi" "38"
"436" "Churamiti_maridadi" "53"
"437" "Dendrophryniscus_berthalutzae" "24"
"438" "Dendrophryniscus_brevipollicatus" "25"
"439" "Dendrophryniscus_carvalhoi" "19"
"440" "Dendrophryniscus_oreites" "25"
"441" "Dendrophryniscus_organensis" "23"
"442" "Dendrophryniscus_stawiarskyi" "22"
"443" "Didynamipus_sjostedti" "20"
"444" "Duttaphrynus_crocus" "67.8"
"445" "Duttaphrynus_cyphosus" "85"
"446" "Duttaphrynus_dodsoni" "59"
"447" "Duttaphrynus_himalayanus" "132"
"448" "Duttaphrynus_kiphirensis" "73"
"449" "Duttaphrynus_mamitensis" "90"
"450" "Duttaphrynus_manipurensis" "47"
"451" "Duttaphrynus_melanostictus" "160"
"452" "Duttaphrynus_mizoramensis" "58"
"453" "Duttaphrynus_nagalandensis" "48"
"454" "Duttaphrynus_noellerti" "88.8"
"455" "Duttaphrynus_scaber" "43"
"456" "Duttaphrynus_stomaticus" "73.7"
"457" "Duttaphrynus_stuarti" "76.2"
"458" "Duttaphrynus_wokhaensis" "92"
"459" "Epidalea_calamita" "100"
"460" "Frostius_erythrophthalmus" "25.6"
"461" "Ghatophryne_ornata" "30"
"462" "Ghatophryne_rubigina" "40.5"
"463" "Incilius_alvarius" "165"
"464" "Incilius_aucoinae" "104.5"
"465" "Incilius_campbelli" "90"
"466" "Incilius_coccifer" "99"
"467" "Incilius_coniferus" "95"
"468" "Incilius_cycladen" "62"
"469" "Incilius_fastidiosus" "62"
"470" "Incilius_holdridgei" "53"
"471" "Incilius_ibarrai" "94"
"472" "Incilius_leucomyos" "96"
"473" "Incilius_luetkenii" "107"
"474" "Incilius_melanochlorus" "106.7"
"475" "Incilius_nebulifer" "125"
"476" "Incilius_occidentalis" "86"
"477" "Incilius_periglenes" "56"
"478" "Incilius_pisinnus" "62"
"479" "Incilius_porteri" "76"
"480" "Incilius_signifer" "77"
"481" "Incilius_valliceps" "125"
"482" "Ingerophrynus_biporcatus" "80"
"483" "Ingerophrynus_divergens" "55"
"484" "Ingerophrynus_parvus" "50"
"485" "Ingerophrynus_philippinicus" "75"
"486" "Ingerophrynus_quadriporcatus" "60"
"487" "Leptophryne_borbonica" "40"
"488" "Leptophryne_cruentata" "40"
"489" "Melanophryniscus_admirabilis" "40.8"
"490" "Melanophryniscus_alipioi" "25.7"
"491" "Melanophryniscus_atroluteus" "28"
"492" "Melanophryniscus_cupreuscapularis" "25.8"
"493" "Melanophryniscus_devincenzii" "29"
"494" "Melanophryniscus_dorsalis" "27"
"495" "Melanophryniscus_fulvoguttatus" "28"
"496" "Melanophryniscus_klappenbachi" "31.9"
"497" "Melanophryniscus_krauczuki" "24.2"
"498" "Melanophryniscus_langonei" "20.5"
"499" "Melanophryniscus_montevidensis" "28"
"500" "Melanophryniscus_moreirae" "30"
"501" "Melanophryniscus_orejasmirandai" "32"
"502" "Melanophryniscus_rubriventris" "45"
"503" "Melanophryniscus_sanmartini" "26"
"504" "Melanophryniscus_stelzneri" "30"
"505" "Melanophryniscus_vilavelhensis" "17.2"
"506" "Mertensophryne_anotis" "46"
"507" "Mertensophryne_lindneri" "34"
"508" "Mertensophryne_loveridgei" "39"
"509" "Mertensophryne_melanopleura" "27"
"510" "Mertensophryne_micranotis" "24"
"511" "Mertensophryne_nyikae" "44"
"512" "Mertensophryne_taitana" "36"
"513" "Mertensophryne_usambarae" "45"
"514" "Mertensophryne_uzunguensis" "30"
"515" "Nannophryne_apolobambica" "74.2"
"516" "Nectophryne_afra" "21"
"517" "Nectophrynoides_asperginis" "20"
"518" "Nectophrynoides_cryptus" "34"
"519" "Nectophrynoides_frontierei" "19"
"520" "Nectophrynoides_laevis" "24.8"
"521" "Nectophrynoides_laticeps" "24"
"522" "Nectophrynoides_minutus" "22"
"523" "Nectophrynoides_paulae" "24"
"524" "Nectophrynoides_poyntoni" "24"
"525" "Nectophrynoides_pseudotornieri" "29"
"526" "Nectophrynoides_tornieri" "34"
"527" "Nectophrynoides_vestergaardi" "24"
"528" "Nectophrynoides_viviparus" "60"
"529" "Nectophrynoides_wendyae" "22"
"530" "Nimbaphrynoides_occidentalis" "28.7"
"531" "Oreophrynella_cryptica" "22"
"532" "Oreophrynella_dendronastes" "34.7"
"533" "Oreophrynella_macconnelli" "22.2"
"534" "Oreophrynella_quelchii" "21.5"
"535" "Oreophrynella_seegobini" "20.6"
"536" "Osornophryne_antisana" "21.5"
"537" "Osornophryne_bufoniformis" "30"
"538" "Osornophryne_guacamayo" "25.7"
"539" "Osornophryne_percrassa" "30"
"540" "Osornophryne_sumacoensis" "33.4"
"541" "Osornophryne_talipes" "23.8"
"542" "Pedostibes_hosii" "98"
"543" "Pedostibes_tuberculosus" "38"
"544" "Pelophryne_api" "20"
"545" "Pelophryne_guentheri" "25"
"546" "Pelophryne_linanitensis" "18.6"
"547" "Pelophryne_misera" "23"
"548" "Pelophryne_murudensis" "25.6"
"549" "Pelophryne_saravacensis" "22"
"550" "Pelophryne_signata" "18"
"551" "Peltophryne_empusa" "76"
"552" "Peltophryne_fustiger" "198"
"553" "Peltophryne_guentheri" "101"
"554" "Peltophryne_lemur" "120"
"555" "Peltophryne_longinasus" "35"
"556" "Peltophryne_peltocephala" "163"
"557" "Peltophryne_taladai" "147"
"558" "Phrynoidis_aspera" "140"
"559" "Phrynoidis_juxtaspera" "215"
"560" "Poyntonophrynus_beiranus" "25"
"561" "Poyntonophrynus_dombensis" "40"
"562" "Poyntonophrynus_fenoulheti" "43"
"563" "Poyntonophrynus_grandisonae" "38"
"564" "Poyntonophrynus_hoeschi" "37"
"565" "Poyntonophrynus_kavangensis" "33"
"566" "Poyntonophrynus_vertebralis" "36"
"567" "Pseudobufo_subasper" "155"
"568" "Rhaebo_andinophrynoides" "50.4"
"569" "Rhaebo_blombergi" "250"
"570" "Rhaebo_caeruleostictus" "92.3"
"571" "Rhaebo_glaberrimus" "110"
"572" "Rhaebo_guttatus" "140"
"573" "Rhaebo_haematiticus" "111.3"
"574" "Rhaebo_hypomelas" "72.1"
"575" "Rhaebo_lynchi" "92.3"
"576" "Rhinella_abei" "83.9"
"577" "Rhinella_achalensis" "60.7"
"578" "Rhinella_alata" "50.5"
"579" "Rhinella_amabilis" "82.6"
"580" "Rhinella_arborescandens" "38"
"581" "Rhinella_arenarum" "115.5"
"582" "Rhinella_castaneotica" "50.5"
"583" "Rhinella_ceratophrys" "82"
"584" "Rhinella_cerradensis" "147"
"585" "Rhinella_chavin" "64.9"
"586" "Rhinella_chrysophora" "59.6"
"587" "Rhinella_crucifer" "130"
"588" "Rhinella_dapsilis" "77"
"589" "Rhinella_dorbignyi" "70"
"590" "Rhinella_fernandezae" "76"
"591" "Rhinella_fissipes" "68.1"
"592" "Rhinella_granulosa" "90"
"593" "Rhinella_henseli" "63.9"
"594" "Rhinella_hoogmoedi" "42"
"595" "Rhinella_icterica" "190"
"596" "Rhinella_justinianoi" "53.6"
"597" "Rhinella_leptoscelis" "85.5"
"598" "Rhinella_lescurei" "43.7"
"599" "Rhinella_magnussoni" "54"
"600" "Rhinella_manu" "41.8"
"601" "Rhinella_margaritifera" "74"
"602" "Rhinella_marina" "241"
"603" "Rhinella_martyi" "64.7"
"604" "Rhinella_multiverrucosa" "68.9"
"605" "Rhinella_nesiotes" "29"
"606" "Rhinella_ocellata" "53"
"607" "Rhinella_ornata" "84.29"
"608" "Rhinella_pombali" "119"
"609" "Rhinella_proboscidea" "55"
"610" "Rhinella_quechua" "62"
"611" "Rhinella_rubescens" "130"
"612" "Rhinella_schneideri" "250"
"613" "Rhinella_scitula" "48"
"614" "Rhinella_sternosignata" "49"
"615" "Rhinella_tacana" "34.2"
"616" "Rhinella_tenrec" "61"
"617" "Rhinella_veredas" "117.8"
"618" "Rhinella_yanachaga" "45.7"
"619" "Sabahphrynus_maculatus" "52.1"
"620" "Schismaderma_carens" "92"
"621" "Truebella_skoptes" "30"
"622" "Truebella_tothastes" "36.5"
"623" "Vandijkophrynus_amatolicus" "41"
"624" "Vandijkophrynus_gariepensis" "95"
"625" "Vandijkophrynus_inyangae" "47"
"626" "Vandijkophrynus_robinsoni" "57"
"627" "Werneria_bambutensis" "42.4"
"628" "Werneria_iboundji" "47.7"
"629" "Werneria_mertensiana" "47.7"
"630" "Werneria_preussi" "49.2"
"631" "Werneria_submontana" "44.5"
"632" "Werneria_tandyi" "40"
"633" "Wolterstorffina_parvipalmata" "33"
"634" "Xanthophryne_koynayensis" "31.8"
"635" "Xanthophryne_tigerina" "35.3"
"636" "Telmatobufo_australis" "77"
"637" "Telmatobufo_bullocki" "83"
"638" "Telmatobufo_venustus" "65.1"
"639" "Ikakogi_tayrona" "30.8"
"640" "Centrolene_antioquiense" "22.5"
