Comb_sciname,Year,Family,Npapers,MainBiogRealm,ThreatStatus,BodyMass,Habit,polykm2,elev.avg,humd.avg,bint_counts,range.rarity,W_avgPPP
Ficimia ramirezi,1949,Colubridae,0,Neotropic,DD,6.1,Fos,146.732386498571,58.6977195739746,26.6214637756348,0,0.00856780575781644,1021811.997
Ficimia ruspator,1941,Colubridae,0,Neotropic,DD,0.9,Fos,146.499061310581,1470.76257324219,752.181762695313,0,0.0621785035527144,1021811.997
Ficimia streckeri,1931,Colubridae,0,Neartic,LC,18.5,Fos&Ter,171139.169538765,247.869720458984,45.770809173584,13,0.0490649531181925,1904779.6745
Ficimia variegata,1858,Colubridae,0,Neotropic,DD,14.5,Fos,5823.41948756465,175.111862182617,61.5898971557617,0,0.00386252153389142,1021811.997
Fimbrios klossi,1921,Xenodermidae,3,IndoMalay,LC,19.9,Ter,50054.7026125194,778.881713867188,64.2023468017578,1,0.612866236022289,55597.008
Fimbrios smithi,2008,Xenodermidae,1,IndoMalay,DD,25.7,Ter,1130.49047261787,460.006774902344,25.5304527282715,0,0.304994162530513,211456.709
Amphiglossus alluaudi,1981,Scincidae,1,Afrotropic,VU,12.7,Fos,3563.90178068879,231.462692260742,57.2701644897461,1,0.836411371761872,19348.695
Amphiglossus andranovahensis,1933,Scincidae,0,Afrotropic,DD,0.5,Fos,19491.005797674,122.963729858398,33.024658203125,0,0.139188187581292,19348.695
Amphiglossus ardouini,1897,Scincidae,0,Afrotropic,VU,11.9,Ter,7587.53662916564,172.294937133789,50.1481819152832,1,0.876809279575732,19348.695
Amphiglossus crenni,1906,Scincidae,2,Afrotropic,LC,18.5,Fos,7746.02588782028,644.370178222656,31.1425037384033,0,0.244861119977058,19348.695
Amphiglossus decaryi,1930,Scincidae,0,Afrotropic,EN,1.4,Ter,1380.25237667031,102.42374420166,92.4295120239258,0,0.0150362357971853,19348.695
Amphiglossus elongatus,1933,Scincidae,1,Afrotropic,DD,21.5,Fos,9171.31976643771,426.327331542969,36.7530021667481,0,0.440560476947791,19348.695
Amphiglossus johannae,1880,Scincidae,0,Afrotropic,LC,22.9,Fos,2039.83019940865,423.846893310547,451.009887695313,0,0.192971959425663,1121.133
Amphiglossus mandokava,1993,Scincidae,0,Afrotropic,VU,121.7,Aqu,14119.3747007903,502.381622314453,27.4621295928955,0,0.623824680317872,19348.695
Amphiglossus melanurus,1877,Scincidae,0,Afrotropic,LC,31,Ter,35587.5023804746,345.642059326172,46.2165374755859,1,1.23647059275305,19348.695
Amphiglossus meva,2011,Scincidae,1,Afrotropic,DD,79.7,Ter,23788.5970980542,657.267272949219,17.4964008331299,0,0.040105316743971,19348.695
Amphiglossus ornaticeps,1896,Scincidae,0,Afrotropic,LC,1.7,Aqu,212013.96489944,221.499130249023,22.3897609710693,0,1.34559213347839,19348.695
Amphiglossus stylus,2002,Scincidae,0,Afrotropic,DD,5.358,Fos,2121.92657049813,461.580291748047,6.99600028991699,0,0.103530619266188,19348.695
Amphiglossus tanysoma,2002,Scincidae,1,Afrotropic,LC,5.9,Ter,11195.6724147743,253.415771484375,22.2940444946289,0,0.235626645533934,19348.695
Amphiglossus tsaratananensis,1981,Scincidae,0,Afrotropic,LC,12.3,Ter,1912.40437617772,1342.92492675781,2.16867089271545,0,0.0635077694926131,19348.695
Amphiglossus valhallae,1909,Scincidae,1,Afrotropic,CR,26,,3.47327686072302,0,,0,0.289777362420691,
Fojia bumui,1982,Scincidae,2,Australasi,,3.9,Ter&Arb,4474.93091659612,259.772247314453,51.0632667541504,1,0.00273651648834083,
Fordonia leucobalia,1837,Homalopsidae,6,Australasi,LC,666.8,Aqu,921366.504032134,76.931037902832,65.9498443603516,41,1.84361691180472,57171.866
Xenochrophis asperrimus,1891,Colubridae,1,IndoMalay,LC,193.1,Ter&Aqu,63331.4658198148,129.515258789063,339.894744873047,17,2.74067798311487,81071.317
Fowlea flavipunctatus,1860,Colubridae,4,,LC,,,,,,,,
Xenochrophis melanzostus,1807,Colubridae,2,IndoMalay,LC,283.8,,131610.763939465,324.170776367188,1126.19641113281,34,0.274203645689053,893115.816
Fowlea piscator,1799,Colubridae,4,,,,,,,,,,
Xenochrophis punctulatus,1858,Colubridae,0,IndoMalay,LC,61.7,Aqu,37361.051218003,27.0557289123535,284.330352783203,13,0.0250604458415749,74095.739
Xenochrophis sanctijohannis,1890,Colubridae,2,IndoMalay,LC,388.8,Ter&Aqu,338294.530508043,1168.9326171875,525.675170898438,14,1.61411059848769,197088.469833333
Xenochrophis schnurrenbergeri,1977,Colubridae,4,IndoMalay,LC,196.7,Aqu,661249.603266407,1181.41284179688,410.977722167969,41,1.88422848606345,173364.821
Xenochrophis tytleri,1863,Colubridae,2,IndoMalay,LC,215.5,Ter&Aqu,7577.01901714648,60.5850486755371,78.0226898193359,0,1.22373688654533,2126586.379
Furcifer angeli,1968,Chamaeleonidae,0,Afrotropic,LC,81.3,Arb,31195.0728639212,89.0258255004883,28.7096004486084,0,0.111848319004722,19348.695
Furcifer antimena,1872,Chamaeleonidae,1,Afrotropic,VU,95.6,Ter,6779.6857037241,142.552017211914,48.1190910339356,0,0.138637879084466,19348.695
Furcifer balteatus,1851,Chamaeleonidae,2,Afrotropic,EN,103.4,Arb,3459.09306467551,657.5888671875,56.3042602539063,0,0.0250149579850588,19348.695
