"Species","rates_mammals_svl","rates_mammals_litter","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"Brachyteles_arachnoides",0.0720708552012475,0.00538254596718819,"7.99999975140141","53.9999994868073","225.997493221201","14.9998603403992","17.000278823195","54.0015309302046","155.002377867305"
"Alouatta_belzebul",0.0217663758419239,-0.0018323255255209,"8","70.9999302102046","84.4997214451849","11.0001393952962","25.0002786185913","72.0002092810927","73.0014599885922"
"Alouatta_caraya",-0.00628095477836616,0.000984003615433231,"9","62.9994426188017","144.999865488848","14.999860828407","22.0001389395958","74.0009748622011","48.9994432873974"
"Alouatta_guariba",-0.0138622117124777,-0.00134337768040144,"8.9998608643975","55.0001391897956","257.998608100819","15.9997214687995","17.0001391630006","37.001392848804","231.985241754514"
"Callicebus_nigrifrons",0.00738306194178682,-0.0254531865028308,"9","61.0004177375986","187.999307371805","15","18.999999744","77.0005563994065","54.9988863931893"
"Callicebus_personatus",0.0137638696433344,-0.0466280849029717,"8.00000001940698","59.9967927963226","179.992053176968","13.9999999805925","20.0002788940011","70.9986017448065","71.997781432439"
"Callicebus_coimbrai",-0.0188433221181875,0.0619219267759407,"5.4997900514986","57.9976277110586","131.99671730577","9.49965060420404","23.5000698555003","51.5015340412981","131.491224609942"
"Sylvilagus_brasiliensis",-0.00440426367106872,-0.00151411371462945,"2.00055649092555","46.0019467931164","80.0038950834021","4.00083513009598","24.9997216168296","59.9997222259063","105.993307831888"
"Sciurus_aestuans",-0.0170002100093155,0.00459507729310968,"8.99972139740642","66.0004182707657","99.0005573376369","13","24.0001392510006","65.9993041204053","93.9970778215893"
"Coendou_prehensilis",0.128434924590048,-0.00152001007517444,"8","68.0002785146019","85.0002092689501","11.999860788706","24.0002088130855","60.0000696014997","119.000279463306"
"Coendou_speratus",0.0317076435143189,0.00185535622295869,"6.99930239358133","66.9970698747407","115.992331156633","9.99916292658078","23.0004181295858","56.0015336718379","123.989276879752"
"Coendou_spinosus",-0.126297071605275,0.0117851284561043,"9","51.9995108675925","296.496727712092","16.9994426356968","16.9999301864997","26.9997207896949","255.995414949783"
"Coendou_insidiosus",0.0993047210859279,-0.0123292134622424,"6.99944168740974","60.9959562198046","158.990381223649","11.9988843919956","22.000139427593","52.0011160056569","161.984815772769"
"Chaetomys_subspinosus",0.00318592756173462,-0.00695367434957385,"6.99923294002417","59.4960951156894","160.490868052217","11.9988148062004","22.00013960041","36.0015339033626","191.988030011411"
"Cuniculus_paca",0.0369311360194609,-0.0118425047253386,"8","68.0001390202122","85.998188489584","11.9998606255897","24.0001392910006","59.9990251183953","128.005855007573"
"Dasyprocta_azarae",0.000702986866147439,0.0273907530959723,"9","58.0001387531931","254.995127329179","15.9997214493992","19.0002785500011","44.0009734616071","162.004744745913"
"Dasyprocta_leporina",0.00241117454730902,-0.0275750042319284,"8","68.0005568725958","85.0004186388872","11.9998607604103","24.9998607969994","66.0000009451816","97.994294958769"
"Galea_spixii",-0.0461319559603516,0.00479093932730613,"9","69.0004175496878","109.999304112997","12.9999997714131","25.0001391915886","85.999164840236","19.0086464860641"
"Kerodon_rupestris",-0.0625044991256486,-0.0172387301174102,"9.99853756532811","68.9997910460883","119.500698905692","13.9995121337864","24.0000000177071","91.4997918072031","13.003764375933"
"Hydrochoerus_hydrochaeris",0.189287098109162,0.033826535643317,"8","67","95.0005576988185","12.0001393436003","24","59.9994431559978","113.007797729043"
"Cavia_magna",-0.00209215191577087,-0.0113654485828243,"7.99937258128276","42.9990932667379","376.494703449969","17.4993028426932","13.0002092445008","15.0000701271974","311.998181334934"
"Cavia_fulgida",-0.0774770688250994,-0.045797188702162,"8.99958182211155","58.997977568492","192.499375925172","14.9997213048047","19.0000000117018","64.4994399702953","90.5203556232533"
