generation,leftchild,rightchild,abstime,betainit,betashift
29000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0432075,0
30000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0420803,0
31000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0412292,0
32000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0412292,0
33000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.04064,0
34000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0407751,0
35000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0399154,0
36000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0399154,0
37000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0384209,0
38000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0387798,0
39000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0387798,0
40000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0373401,0
41000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0367277,0
42000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0367277,0
43000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0361071,0
44000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0361071,0
45000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0360376,0
46000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.034008,0
47000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0344787,0
48000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.034662,0
49000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0344522,0
50000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0340515,0
51000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0315945,0
52000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0315945,0
53000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0324631,0
54000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0324631,0
55000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.031664,0
56000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0316594,0
57000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0312001,0
58000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0309864,0
59000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.031018,0
60000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0308022,0
61000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0308022,0
62000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0297892,0
63000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0295951,0
64000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0294554,0
64000,Lissotriton_helveticus,NA,312.066,422658,8.31655e-005
65000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.028881,0
66000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.028881,0
67000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0292881,0
68000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0287238,0
69000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.028626,0
70000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.028164,0
71000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.028164,0
72000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0287503,0
73000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0286247,0
74000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.027652,0
75000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0270361,0
76000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0270361,0
77000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0272787,0
78000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0267825,0
79000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0267825,0
80000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0262369,0
81000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0262369,0
82000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0257259,0
83000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0257259,0
84000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.025554,0
85000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0256266,0
86000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0256266,0
87000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0256266,0
88000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0252335,0
89000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0245712,0
90000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0245712,0
91000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0242085,0
92000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0242085,0
93000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.023764,0
94000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0237225,0
95000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0235162,0
96000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0231953,0
97000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.023155,0
98000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.022923,0
99000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.022923,0
100000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0228003,0
101000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0228003,0
102000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0226938,0
103000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0223634,0
104000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0220554,0
105000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0222694,0
106000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0222694,0
107000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0215457,0
108000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0219197,0
109000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0217953,0
110000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0211177,0
111000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0210142,0
112000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0208778,0
113000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.020413,0
114000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.020413,0
115000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0203906,0
116000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0203906,0
117000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0203906,0
118000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0203906,0
119000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0203906,0
120000,Batrachuperus_karlschmidti,Epicrionops_bicolor,0,0.0203906,0
