Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Micrurus langsdorffi,9.95225,100.86575,2.7,10.0335,56.2475,820.075,291.98899802214,1290.81824960327,78.9941500314015,304.98802323797,625.969780840811,16526.2594478357
Micrurus lemniscatus,24.80825,427.4445,12.425,28.23325,135.5245,1167.925,347.98426734473,4459.94542066793,265.99470791576,366.98328076779,1395.92659755016,32614.6680366752
Micrurus narduccii,19.69975,182.88725,5.2,20.525,83.8285,796.45,321.98287472116,2684.84139351332,141.987749069172,334.98231819375,962.935515584278,17101.2410289357
Micrurus nattereri,4.623,85.1635,2.6,3.77475,70.331,671.525,181.98175262419,1145.94273762561,60.9976325533233,171.98217052253,730.003481383239,12167.6232278611
Micrurus obscurus,13.53725,183.57325,5.25,14.17525,62.9635,770.25,331.95182742334,2694.87914165349,121.980226749202,342.9511312047,730.923823860766,16951.0650845806
Micrurus pacaraimae,2.825,55.45475,1.5,2.2,27.722,203.35,165.9916432356,1054.87629795803,49.9942882345284,152.99206117497,665.962257556269,6117.16408258597
Micrurus paraensis,4.41475,106.90375,3.5,4.54175,70.36025,701.775,158.98230643359,1451.93721091245,139.99930532855,152.98411720116,784.997358860868,12418.607353864
Micrurus potyguara,1.1105,16.3675,0.525,1.30825,26.7955,87.1,41.9958151773999,670.994274853505,90.9960941181047,45.9955375493601,277.004153933653,1579.7762130832
Micrurus psyches,4.0545,92.14825,2.625,4.4165,47.67075,352.95,175.99233882127,1107.85234187158,113.995542027741,167.99010937658,686.934936746579,8257.83854201156
Micrurus putumayensis,1.23125,19.8055,0.625,1.43325,24.99175,410.875,27.9951260539501,241.994147966673,27.9980506432587,28.99484753565,299.993178974529,5870.81955293606
Micrurus pyrrhocryptus,25.527,621.0615,16.925,28.76625,102.0305,322.725,476.94859747904,7359.8170596121,235.994986770317,543.9458131987,1382.98133406193,5429.91862334091
Micrurus remotus,3.10225,52.45275,1.675,3.3,60.01825,640.15,170.98119543356,1038.8516112144,59.9966557839282,168.9816133319,684.987877930323,11714.5393670106
Micrurus scutiventris,9.6105,63.91125,1.8,9.47525,51.59325,633.525,238.97590120632,1105.83887376274,60.9956828003738,244.97617956862,549.016855196976,16843.0281178833
Micrurus serranus,14.398,71.2825,1.65,15.2335,45.74625,182.4,207.99470712915,1876.79917182012,126.98481985592,202.99442865978,647.970623701498,2725.81994087543
Micrurus silviae,3.09175,107.37875,3.325,3.375,14.13875,173.925,55.0011131874103,1517.99721639512,55.00069596867,52.0001393940001,185.987598195266,3659.85251154336
Micrurus spixii,17.13125,294.2895,8.4,17.54175,77.5925,809.225,325.95670311828,3411.93038067701,168.997771993786,336.95558872811,837.00042256049,17105.3005131536
