inertia,OMI,Tol,Rtol,omi,tol,rtol
Amphisbaena.dubia,3.04508344930952,1.77131111596057,1.00786409819572,0.26590823515324,58.2,33.1,8.7
Amphisbaena.heterozonata,1.30410235260681,0.848784424792781,0.0234603214524585,0.431857606361574,65.1,1.8,33.1
Amphisbaena.hogei,1.48459982183485,0.740373707545052,0.412193557819383,0.332032556470416,49.9,27.8,22.4
Amphisbaena.infraorbitale,2.33944618982712,1.13584288377925,0.695932129931406,0.507671176116468,48.6,29.7,21.7
Amphisbaena.kingii,5.91664595577646,5.74674598346569,0.0380395657869867,0.131860406523788,97.1,0.6,2.2
Amphisbaena.lumbricalis,1.61142567561253,1.55079043765526,0.0511429523870001,0.00949228557026666,96.2,3.2,0.6
Amphisbaena.mertensii,1.78060602417926,0.139007949290191,0.274067407222877,1.36753066766619,7.8,15.4,76.8
Amphisbaena.microcephalum,3.93457811010375,1.23757272832016,1.88009651147024,0.816908870313343,31.5,47.8,20.8
Amphisbaena.munoai,5.96378697370308,5.82623755327643,0.0358398072702014,0.101709613156444,97.7,0.6,1.7
Amphisbaena.nigricauda,2.44475604555425,1.52591214427831,0.482305357464424,0.436538543811514,62.4,19.7,17.9
Amphisbaena.octostegum,3.31065028826268,3.31065028826268,0,0,100,0,0
Amphisbaena.polystegum,2.38805365293783,0.932161464131636,0.191202153810849,1.26469003499535,39,8,53
Amphisbaena.pretrei,2.41116736415696,1.09642468937922,0.201945228779393,1.11279744599835,45.5,8.4,46.2
Amphisbaena.prunicolor,3.85755650124728,0.91289553678829,2.36349989574283,0.581161068716154,23.7,61.3,15.1
Amphisbaena.roberti,1.24789305042189,0.647714071086114,0.326217153956653,0.273961825379128,51.9,26.1,22
Amphisbaena.scutigerum,0.389205834856743,0.316158718278333,0.0685654891058653,0.00448162747254439,81.2,17.6,1.2
Amphisbaena.trachura,3.73208323744904,1.3234807724014,1.99484012120182,0.413762343845815,35.5,53.5,11.1
Amphisbaena.vermicularis,2.4674821918702,1.82364202327548,0.0832856653105369,0.560554503284181,73.9,3.4,22.7
Amphisbaena.wiedi,2.01463922576421,0.447249982724372,0.127799566607162,1.43958967643268,22.2,6.3,71.5
Amphisbaena.wuchereri,2.01298440291219,0.987161414277436,0.423705131110611,0.602117857524145,49,21,29.9
Anisolepis.grilli,3.36926726290053,0.746883493491717,2.09801423564783,0.524369533760983,22.2,62.3,15.6
Anisolepis.undulatus,5.13509462223087,5.06433298483393,0.0385903322896622,0.0321713051072771,98.6,0.8,0.6
Anolis.brasiliensis,3.0098277016276,2.94030559262476,0.0113551649063329,0.0581669440965053,97.7,0.4,1.9
Anolis.chrysolepis,3.04656017919916,2.73397306809078,0.0913849999863784,0.221202111121996,89.7,3,7.3
Anolis.fuscoauratus,2.27683247460853,2.00754318558365,0.113696464692867,0.155592824332017,88.2,5,6.8
Anolis.meridionalis,2.03940792614517,1.41171726428626,0.285159858584322,0.342530803274581,69.2,14,16.8
Anolis.nasofrontalis,1.25838440214242,1.25838440214242,0,0,100,0,0
Anolis.pseudotigrinus,2.16504659763091,1.67413392203826,0.207798467867313,0.283114207725336,77.3,9.6,13.1
Anolis.punctatus,2.17251985877469,0.860990683086546,0.501488370023043,0.8100408056651,39.6,23.1,37.3
Anolis.williamsii,2.21979724654012,1.26872826539149,0.266767306801815,0.684301674346817,57.2,12,30.8
Anotosaura.collaris,2.47158904901508,0.962200528405248,0.435314852596407,1.07407366801342,38.9,17.6,43.5
Anotosaura.vanzolinia,2.41279524499759,1.93059204026332,0.304007920370211,0.178195284364058,80,12.6,7.4
Apostolepis.albicollaris,4.07551869253645,4.0358252138457,0.00332094529017931,0.036372533400571,99,0.1,0.9
Apostolepis.ambiniger,0.543583949634115,0.532931500766433,0.00729836143294238,0.00335408743473903,98,1.3,0.6
Apostolepis.ammodites,3.56252588798715,3.15495679627261,0.034993216228925,0.372575875485622,88.6,1,10.5
Apostolepis.assimilis,2.34342439380897,0.0641219959358772,1.67719626054927,0.602106137323826,2.7,71.6,25.7
Apostolepis.cearensis,2.29547999456975,1.34976268625511,0.167370084330443,0.7783472239842,58.8,7.3,33.9
Apostolepis.dimidiata,2.50183694955592,0.0143432451939024,1.3737710099782,1.11372269438382,0.6,54.9,44.5
Apostolepis.flavotorquata,2.31639464301487,1.52924106896092,0.306483272858325,0.480670301195632,66,13.2,20.8
Apostolepis.goiasensis,3.54292554350752,3.43614617609154,0.0569598770536907,0.0498194903622856,97,1.6,1.4
Apostolepis.quirogai,5.17839159667513,5.17839159667513,3.17389658734513e-32,2.06463286138816e-32,100,0,0
Aspronema.dorsivittatum,3.25280500010871,0.220978198319337,2.43219142861147,0.599635373177897,6.8,74.8,18.4
Atractus.albuquerquei,3.60823069622188,3.51549313280945,0.0193086713815179,0.0734288920309066,97.4,0.5,2
Atractus.caete,1.98995444799131,1.66510934024973,0.11124521533096,0.213599892410621,83.7,5.6,10.7
