inertia,OMI,Tol,Rtol,omi,tol,rtol
Euphonia.pectoralis,2.97721779299767,0.0286993135450858,2.27840924134383,0.670109238108757,1,76.5,22.5
Gubernatrix.cristata,4.7814396681535,4.66888487744618,0.039732019690306,0.0728227710170165,97.6,0.8,1.5
Hemithraupis.flavicollis,2.21398013429826,0.831210451235739,0.34643950158155,1.03633018148097,37.5,15.6,46.8
Icterus.jamacaii,2.39736171494853,1.12558353020746,0.543886129598461,0.727892055142611,47,22.7,30.4
Mimus.saturninus,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Molothrus.rufoaxillaris,3.18696811944679,0.118666347594213,2.43584846295621,0.632453308896365,3.7,76.4,19.8
Sporophila.hypochroma,1.89126883110532,0.959073357705822,0.317986136835688,0.614209336563811,50.7,16.8,32.5
Nemosia.pileata,2.15997576575471,0.848100414100406,0.531371677610052,0.78050367404425,39.3,24.6,36.1
Neothraupis.fasciata,2.26253439774721,1.20447308877993,0.453623804022521,0.604437504944754,53.2,20,26.7
Orchesticus.abeillei,2.33977615901692,0.33844653800526,0.231456323113417,1.76987329789824,14.5,9.9,75.6
Orthogonys.chloricterus,2.12552575730562,0.329924484058378,0.278791214068451,1.51681005917879,15.5,13.1,71.4
Paroaria.capitata,2.46946359425546,0.529437028700009,0.116969765227522,1.82305680032793,21.4,4.7,73.8
Pheucticus.aureoventris,0.975907337788202,0.862749776091972,0.0515656956255846,0.0615918660706446,88.4,5.3,6.3
Polioptila.dumicola,2.85070005912032,0.316384203841905,1.94987361214292,0.584442243135491,11.1,68.4,20.5
Porphyrospiza.caerulescens,3.87225559169977,3.53596143047702,0.0370764522630782,0.299217708959667,91.3,1,7.7
Psarocolius.decumanus,2.24676602530143,0.171553908569246,1.43163399703461,0.643578119697575,7.6,63.7,28.6
Pseudoleistes.guirahuro,3.35228577437568,0.281898518660573,2.53315652315488,0.537230732560229,8.4,75.6,16
Pseudoleistes.virescens,6.02106934922302,5.79790684004069,0.136038166084802,0.0871243430975337,96.3,2.3,1.4
Saltator.atricollis,2.28558950452251,1.20274377009153,0.48390648917679,0.598939245254185,52.6,21.2,26.2
Saltator.fuliginosus,2.98403060607083,0.137202818852263,2.30284447766269,0.543983309555882,4.6,77.2,18.2
Saltator.similis,3.1155886910702,0.0261847147025813,0.952756062148738,2.13664791421888,0.8,30.6,68.6
Schistochlamys.melanopis,2.1643000831223,0.93710067074988,0.391077195725293,0.836122216647131,43.3,18.1,38.6
Schistochlamys.ruficapillus,2.22190518545147,0.705568351516673,0.894156259826812,0.622180574107982,31.8,40.2,28
Sicalis.citrina,2.45860446940084,1.81018957957561,0.446799600041195,0.201615289784031,73.6,18.2,8.2
Sicalis.columbiana,3.86808035359533,3.81029832118791,0.0028526441890494,0.0549293882183725,98.5,0.1,1.4
Sicalis.flaveola,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Sicalis.luteola,3.25477078922236,0.0810192611522936,2.33661145655994,0.837140071510123,2.5,71.8,25.7
Sporophila.falcirostris,2.09955783578671,0.073762312585306,0.998822839081574,1.02697268411983,3.5,47.6,48.9
Sporophila.ardesiaca,2.17905444627337,1.02636276196586,0.617547415789727,0.535144268517784,47.1,28.3,24.6
Sporophila.caerulescens,3.00289289974867,0.0202150544917552,2.29039657135473,0.692281273902188,0.7,76.3,23.1
Sporophila.frontalis,2.89067812702985,0.216135141972612,1.19526807954073,1.4792749055165,7.5,41.3,51.2
Sporophila.leucoptera,2.23995964962543,0.833328942860461,0.606267377609199,0.800363329155772,37.2,27.1,35.7
Sporophila.lineola,2.50100079707118,0.147946134878026,1.70115164847979,0.651903013713357,5.9,68,26.1
Sporophila.ruficollis,2.7163501231983,0.221649706941221,0.54198793657044,1.95271247968664,8.2,20,71.9
Tachyphonus.coronatus,3.063513292414,0.0484774731535053,1.86392617153798,1.15110964772251,1.6,60.8,37.6
