Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Dasyprocta iacki,3.04175,73.79075,1.95,3.54175,48.9035,104.325,83.9948423819501,1247.96553454633,117.996235065282,92.9940059190903,574.949813697101,1691.80816529296
Dasyprocta kalinowskii,18.244,71.49275,1.975,18.93325,37.97275,363.875,307.98496365615,1061.96073110328,102.990812212608,314.98398921438,572.980781256646,7411.10192687686
Dasyprocta leporina,9.379,263.7045,7.15,12.1165,81.565,467.05,264.97702054553,3216.85029410104,159.996516201354,263.97827428584,898.956241006221,11353.7290786416
Dasyprocta mexicana,9.49825,96.57775,2.75,9.62525,40.6255,164.1,303.95807832405,2207.73079233441,172.990111582849,323.95571023816,897.933686918159,5304.90974688648
Dasyprocta prymnolopha,5.9645,131.555,3.875,7.2415,95.03175,347.325,145.99038243178,1821.99233800984,147.997771786985,154.98996416741,1068.94884687131,4192.98885497339
Dasyprocta punctata,10.73375,175.03225,4.475,10.70875,94.63825,1299.025,330.96782652192,2164.92269998171,163.99721472779,329.96894068676,1048.8874558115,32726.9499936441
Dasyprocta ruatanica,0,0,0,0,0,0,9.99999942879003,362.992740002474,27.9994411891679,9.99986011394003,108.003894339267,822.98005881192
Dasyprocta variegata,17.15,82.69475,2.5,18.47525,32.0025,347.575,317.98468498645,1153.96102099016,105.989697517299,333.98384987613,573.958514522954,7398.930521348
Dasypus hybridus,10.17275,296.239,8.7,11.97475,72.72275,403.325,135.99331368348,3329.01442233759,192.998192927629,148.99526311448,742.982016009154,6318.71601587987
Dasypus kappleri,13.44575,133.58325,3.9,12.92525,85.78425,1267.1,309.97033627073,1562.91743363149,139.99930532855,315.96894380261,858.96293308866,32655.9827311138
Dasypus novemcinctus,25.6455,1000.2885,27.3,33.6665,126.602,1307.85,356.98008433607,10334.0061613404,415.993456708815,448.99387416148,1234.95250469694,32746.9759002536
Dasypus pilosus,11.5395,34.98875,1.025,11.69975,49.8405,311.225,308.9820372556,1087.91073912809,63.9927588685764,310.98245521738,800.903218890106,8440.59745916788
Dasypus sabanicola,10.375,111.3255,3.1,9.4835,60.07525,374.15,257.96517174201,1306.89580412562,84.0068255664105,259.96447517917,640.978970225071,8926.59871722826
Dasypus septemcinctus,15.6915,376.23075,10.875,19.425,103.126,424.25,267.97687336515,4168.95573698375,200.999164288721,285.97868584113,1100.96292796328,6465.72647186985
Dasypus yepesi,8.8955,58.16675,1.725,8.325,13.853,11.6,217.97366473786,2848.6625777561,90.990526333656,198.97784392146,281.972980278264,719.888176307577
Delomys collinus,3.54125,22.36875,0.7,3.925,25.43875,68.775,158.97924779577,1157.91576819373,122.994850428656,162.98677302311,554.934980644246,2033.74481044185
Delomys dorsalis,6.06225,170.95575,4.825,7.883,65.37875,371.35,156.98565841334,2661.92914347819,154.995408009243,162.98677302311,690.998317434205,6028.73592259304
Delomys sublineatus,5.677,123.85425,3.125,7.08325,63.26425,283.3,168.97980398111,2190.88528000632,135.99345582775,170.98607543982,714.99399740002,4901.57900114511
Deltamys kempi,3.302,180.08725,5.775,4.66675,28.687,203.575,63.0013934774001,2241.00984179527,147.000142090859,73.9986088890601,341.982156850592,4542.78896527276
Didelphis albiventris,22.97675,634.81675,17.75,29.34975,104.87575,424.25,504.94873697672,7821.79505380651,294.997356476314,576.94469903674,1119.96333789148,6465.72647186985
Didelphis aurita,8.74775,272.5835,7.725,10.95825,86.5695,421,189.97743617486,3438.9286019231,170.996937719685,191.9842652598,907.980763153035,6441.71601033814
Didelphis imperfecta,4.3585,80.36425,2.475,4.6165,66.9015,579.65,189.9778513946,1125.84426097846,112.995960053465,174.98008075118,772.965161749892,12149.6080387376
Didelphis marsupialis,22.9085,347.981,9.075,24.20875,126.3505,1307.85,345.98273476896,4524.95728948842,214.000697612447,353.98231778002,1236.85309407847,32750.9249355984
Didelphis pernigra,21.962,191.79625,5.325,23.29175,115.1605,1278.05,341.98384911675,2716.5086888508,209.993316247519,351.98190018982,1290.90169118003,32750.9249355984
Didelphis virginiana,25.67725,1032.33525,28.15,34.87475,112.81925,379.8,451.9566924464,10698.0343374151,405.998329734181,480.96309728675,1210.9689298554,9832.78548154363
Dinomys branickii,17.39775,167.111,4.775,18.992,96.731,1248.725,341.98384911675,2055.82915240405,189.985241629825,351.98190018982,1048.8874558115,32659.9234197092
Diplomys caniceps,0,0,0,0,0,0,172.99693323781,254.090250001398,31.0027857547659,171.99609748111,174.993592275679,5701.79484885166
Diplomys labilis,3.567,35.15475,1.05,3.54175,58.34575,1191.675,271.98496305579,982.811702318077,102.986072520951,281.98329203578,847.893034013477,32575.7820454961
Dipodomys merriami,16.006,645.899,17.675,21.40825,118.86525,77.375,304.97103541847,8667.83978895325,351.998883536421,367.98189950203,1321.94597592474,1860.84633693463
Dipodomys ordii,22.2435,921.03325,25.575,28.8915,102.67575,136.375,338.96977754971,10555.9866020066,305.995821521154,375.99136776922,1091.96573030319,3538.74537731898
Dipodomys phillipsii,7.23325,151.50525,3.8,7.0245,34.893,98.575,318.94456439493,2341.92061523941,145.000696102481,334.94219702942,618.966145866506,3347.86154802143
Dolichotis patagonum,18.35175,323.958,9.225,17.47475,90.27275,306,378.98704090043,5005.53974737223,254.971319227631,403.98355680457,1281.95638370184,9618.97562164215
Dolichotis salinicola,18.875,404.79475,10.95,21.43325,54.7015,87.15,336.97757214157,5021.67821398252,170.982450636698,363.97743285843,728.016976295874,1358.02191078126
Dromiciops gliroides,7.08525,299.139,8.75,7.93325,57.53775,301.4,226.98579965329,5070.72362113335,265.977711916517,249.98454499742,774.002930605825,12139.7630803357
Drymoreomys albimaculatus,5.0105,134.23775,3.575,5.99975,60.32075,270.425,154.98621505452,1959.92273218688,129.991091182161,157.98649413,713.998739080857,5175.64531225988
Dusicyon australis,0.491750000000001,36.9025,1.1,0.8835,3.2565,13.85,40.99178839043,1424.79688221856,81.9865052523225,53.9891446697902,128.984007258499,1056.86206384015
Dusicyon avus,17.8145,404.919,11.4,17.02475,71.2405,527.725,333.97870613628,4943.78018464447,244.998607678337,319.98093532712,722.983966645453,12955.1601968701
