Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Phyllomedusa_distincta,21.1625,261.119875,7.15,18.054125,44.352,203.3125,2925.00397098184,2615.94059750237,152.499301446743,2893.50376188466,422.004718185032,2685.85034454114
Phyllomedusa_iheringii,19.65225,431.31875,12.1375,14.5125,11.8405,300.775,2911.00090352362,4062.23190222534,199.99763059257,2856.00118240623,146.503066260174,3056.9811707189
Phyllomedusa_itacolomi,22.4105,189.8855,5.475,19.81675,87.4555,40.225,2935.0023678677,2001.97424645293,151.998607069113,2907.00250704425,822.008766836087,487.988868124121
Phyllomedusa_neildi,27.836375,76.0495,2.2,26.8375,52.77625,57.3,2990.00125364084,849.476804004094,103.98822848744,2979.00132329797,502.513791625908,679.038309230146
Phyllomedusa_sauvagii,25.30625,346.63375,9.9,20.5,67.541,53.925,2968.00069579365,3558.95474213973,187.997911381242,2920.00139201929,611.99469946246,685.031910353632
Phyllomedusa_tarsius,26.112375,58.3415,1.775,25.4125,42.65,287.9,2987.00006939772,469.505427817804,89.9993732928704,2980.00090527232,420.490393086646,2689.05701023352
Phyllomedusa_tetraploidea,23.38125,260.329,7.175,19.9415,41.99475,192.675,2941.00097379474,2615.92983147661,156.998747179941,2906.0011117804,385.02171591068,2215.94129861805
Phyllomedusa_trinitatis,26.6875,68.90925,2.1125,25.8875,50.0255,88,2986.50132324567,779.490527928016,86.4867662092463,2975.00160183967,459.524031334472,746.505079329502
Phyllomedusa_vaillantii,26.20625,64.08075,1.975,25.41675,55.73225,194.85,2987.00013936225,584.99902610063,100.001393653095,2979.99972153712,554.993180805652,1779.93399723725
Phyllomedusa_venusta,25.98325,28.80375,0.95,25.675,49.12725,226.475,2987.00069647126,420.952923656923,88.0002781676764,2983.00083577011,458.01155823979,2653.24548237762
Physalaemus_aguirrei,24.919625,183.066875,5.3,22.5375,67.24025,96.4375,2971.50090612082,1756.93933467155,122.990167029694,2948.50146444282,550.99488429019,1387.51643864631
Physalaemus_albifrons,27.505375,144.10575,4.45,25.666625,90.72525,21.7,2989.50006751431,1437.00552440879,135.499582097448,2970.0022274559,924.004648892891,192.560315315229
Physalaemus_albonotatus,25.899875,215.144375,6.2,23.229125,65.45925,67.225,2974.00097434716,2310.93657421788,155.498398852215,2943.00236746457,584.492342366594,874.983221199412
Physalaemus_angrensis,21.01475,211.13775,5.975,18.2165,73.878,82.225,2930.00237116022,2126.99555940902,153.99944262621,2901.00251057167,693.009592945527,999.929018511884
Physalaemus_atim,25.93325,120.22575,3.825,24.6165,86.208,20.875,2966.99930165536,1054.00671018401,147.000835950892,2950.99957956506,792.004313295525,273.997499841141
Physalaemus_atlanticus,21.18775,218.03925,6.125,18.399875,58.685125,147.125,2949.99882029437,1982.98385699617,97.0028431395064,2923.99903044704,393.030596229443,1839.32316566187
Physalaemus_barrioi,21.01475,211.13775,5.975,18.2165,73.878,82.225,2930.00237116022,2126.99555940902,153.99944262621,2901.00251057167,693.009592945527,999.929018511884
Physalaemus_biligonigerus,22.98975,389.0085,11.075,17.69175,61.4855,70.375,2947.0002776177,3836.97472915796,195.998747131559,2894.00139185711,546.993724109141,872.988589743314
Physalaemus_bokermanni,21.59175,229.6405,6.325,18.56675,58.4775,140.55,2929.00181146024,2262.97312190897,148.997908280072,2899.00167203739,549.99816896953,1549.52322203969
Physalaemus_caete,25.894875,141.666625,4.0375,23.970875,57.616,95.65,2984.49867894736,1127.96440833066,81.4988757283986,2967.99923729506,604.495130043425,1114.46213744023
Physalaemus_camacan,24.3,147.2375,4.3,22.35825,42.23775,182.675,2972.00139509473,1587.90464864523,121.988287809603,2949.00278905583,261.999034089413,2235.08793882689
