inertia,OMI,Tol,Rtol,omi,tol,rtol
Apostolepis.ambiniger,1.08957068782526,0.991822653940288,0.0350703109314257,0.0626777229535475,91,3.2,5.8
Apostolepis.ammodites,3.34879815676491,2.41919076693746,0.0491658470794392,0.880441542748016,72.2,1.5,26.3
Apostolepis.assimilis,2.5441384566145,0.113183748347486,0.202155480803948,2.22879922746307,4.4,7.9,87.6
Apostolepis.cearensis,7.29563565942826,5.00646224841561,0.310442780703557,1.97873063030909,68.6,4.3,27.1
Apostolepis.dimidiata,2.74929122985002,0.227632352839684,0.862621992529228,1.6590368844811,8.3,31.4,60.3
Apostolepis.flavotorquata,2.18835258138362,1.01983279225259,0.279472369237078,0.889047419893953,46.6,12.8,40.6
Apostolepis.goiasensis,3.0333935395561,2.69643053703781,0.101897639346652,0.23506536317164,88.9,3.4,7.7
Apostolepis.quirogai,5.96002517542185,5.88258826310505,0.00320249752175847,0.0742344147950412,98.7,0.1,1.2
Aspronema.dorsivittatum,3.47284001641186,0.501858008218173,1.50014694406841,1.47083506412528,14.5,43.2,42.4
Atractus.albuquerquei,3.0633727400208,2.81709006254501,0.0606350841954741,0.185647593280319,92,2,6.1
Atractus.caete,6.64090916562395,5.18312728037192,0.302985005792727,1.1547968794593,78,4.6,17.4
Atractus.francoi,1.57021091787091,0.576549251838471,0.129590083154386,0.864071582878053,36.7,8.3,55
Atractus.guentheri,6.19403709150009,5.00517911031882,0.569964858730676,0.618893122450599,80.8,9.2,10
Atractus.maculatus,6.1715059027537,5.2672112640649,0.333650173877629,0.570644464811168,85.3,5.4,9.2
Atractus.pantostictus,2.2508218018802,0.723647957830659,0.308124683706226,1.21904916034332,32.2,13.7,54.2
Atractus.paraguayensis,6.08846472109592,5.11900483189609,0.181223791616761,0.788236097583076,84.1,3,12.9
Atractus.potschi,6.89189680917216,4.75368533973715,0.199109264217058,1.93910220521795,69,2.9,28.1
Atractus.reticulatus,3.67296356364056,1.02833234767757,1.53855297756476,1.10607823839822,28,41.9,30.1
Atractus.serranus,1.41830078187644,0.34696888889748,0.219296153945586,0.852035739033369,24.5,15.5,60.1
Atractus.spinalis,2.90801027734933,2.85882875023593,0.00145934419411107,0.0477221829192878,98.3,0.1,1.6
Atractus.thalesdelemai,6.61052268674827,6.22090376526853,0.0506638781320514,0.33895504334769,94.1,0.8,5.1
Atractus.trihedrurus,3.88339890652971,1.89402959068796,0.758468778878128,1.23090053696362,48.8,19.5,31.7
Atractus.zebrinus,3.19888658391319,0.440431058934408,0.55299658832706,2.20545893665172,13.8,17.3,68.9
Bachia.bresslaui,2.00696857087218,1.2182815706049,0.275841316772511,0.512845683494774,60.7,13.7,25.6
Boa.constrictor,3.37264143314873,0.587305372811575,1.03342037019371,1.75191569014345,17.4,30.6,51.9
Boiruna.maculata,3.54819241990863,0.600670320294751,1.60549645193823,1.34202564767565,16.9,45.2,37.8
Boiruna.sertaneja,6.86895041936696,4.28176130020721,0.222122060639184,2.36506705852056,62.3,3.2,34.4
Bothrops.alternatus,3.45257257253907,0.459047017532028,1.48150112016672,1.51202443484032,13.3,42.9,43.8
Bothrops.bilineata,4.36452865546909,1.69718646510676,0.536949883780848,2.13039230658148,38.9,12.3,48.8
Bothrops.cotiara,4.92306125526554,3.24486941539038,0.66791312500247,1.01027871487269,65.9,13.6,20.5
Bothrops.diporus,3.59997522295432,1.61322109328501,1.10688832488527,0.879865804784034,44.8,30.7,24.4
Bothrops.erythromelas,6.34276511686322,3.86001747286603,0.147653458128063,2.33509418586912,60.9,2.3,36.8
Bothrops.fonsecai,2.12891526586913,0.937745630454531,0.266188792449516,0.924980842965083,44,12.5,43.4
Bothrops.itapetiningae,1.99255893329771,0.103276969293561,0.262183949864886,1.62709801413926,5.2,13.2,81.7
Bothrops.jararaca,3.86799236542475,0.0277308643712149,1.66998313242798,2.17027836862556,0.7,43.2,56.1
Bothrops.jararacussu,3.48682157510988,0.0300839860085837,0.54613371845239,2.91060387064891,0.9,15.7,83.5
Bothrops.leucurus,5.24103461657851,2.84520317905153,0.498748688165022,1.89708274936196,54.3,9.5,36.2
Bothrops.lutzi,4.74741681844114,0.986912671753969,1.45220657756637,2.30829756912081,20.8,30.6,48.6
Bothrops.marmoratus,3.4816016027443,3.06022824186938,0.0419735863273757,0.379399774547549,87.9,1.2,10.9
