Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Ctenomys maulinus,11.515625,475.137625,13.35,5.791625,81.42775,62.8125,2798.00309927622,4377.65911214697,229.008846616278,2743.50111385977,717.517395158104,1961.77183772005
Ctenomys mendocinus,17.6,606.88025,17.05,10.2835,57.49025,34.375,2899.99916324228,5764.9251062222,276.001530988288,2826.00069681117,599.007231094075,431.993607174103
Ctenomys minutus,19.89375,365.4015,10.05,15.325,13.98575,319.125,2919.99986594509,3471.89258223372,173.990241323605,2874.99596168873,148.9990207981,3738.0805866287
Ctenomys occultus,11.3915,434.412,12.125,6.10825,103.2905,13.65,2892.0054371109,3891.01782537231,211.999305277703,2844.00376523025,904.023794674151,287.958510693503
Ctenomys opimus,7.398,296.656875,8.3125,3.666625,121.160625,2.425,2799.99944615611,2724.84310381968,218.002366511877,2760.50354961017,1192.99366360417,79.9891373468386
Ctenomys osvaldoreigi,20.67925,559.74325,15.925,13.3665,82.01325,19.5,2905.00821140901,5067.02623859521,241.001667190476,2843.00695848768,756.996370431399,273.99654054012
Ctenomys pearsoni,17.99175,459.258,13.125,12.63325,10.08325,264.2,2894.9998607101,4308.98372382475,208.998534453057,2839.99999970861,115.008227292976,2633.04294533457
Ctenomys perrensi,21.85225,448.1595,13.1,16.48325,33.21625,191.425,2931.00167025603,4353.99054830303,212.998886457195,2875.00208789658,313.994560097599,1958.09362687666
Ctenomys peruanus,7.18775,159.71775,4.475,4.95,107.84675,13.975,2806.00334213479,1433.93109979765,186.987190732635,2786.00389882741,962.982455458938,318.027455314838
Ctenomys pilarensis,23.684375,412.42925,12.0875,18.51675,40.36875,156.1875,2949.00076536259,3988.9700713769,198.998885690892,2897.50132239599,377.486134173981,1847.06488317524
Ctenomys pontifex,10.873,613.91525,17.075,3.30825,58.7745,45.2,2826.99527637825,5783.0393928452,264.005429358906,2744.99764305565,512.030628247421,509.977300983331
Ctenomys porteousi,16.460375,567.261,16.2875,9.5415,44.894875,85.7625,2878.00097307534,5281.96592254934,246.998259988524,2810.00132120677,432.001172285614,874.014502140149
Ctenomys pundti,18.127,537.38625,15.575,11.3835,67.359,51.925,2903.99999957816,5032.96713433722,235.998607268426,2836.00069583364,627.999502175695,428.009909074388
Ctenomys rionegrensis,19.67275,494.311375,14.3375,13.65,34.077375,156.775,2910.00097375609,4757.98496205485,228.499303577578,2849.50118270406,308.999014720653,1683.53055214493
Ctenomys roigi,22.9095,431.994875,12.6875,17.587625,43.3015,142.325,2941.50118312853,4176.47306947336,204.999025581742,2887.50160078678,427.486967894693,1537.08578131445
Ctenomys saltarius,9.04575,394.69025,10.925,3.933125,106.74525,8.9125,2875.50425627434,3396.31627667707,197.999374948121,2829.00362821487,1050.99184719797,120.007997621582
Ctenomys scagliai,10.1915,403.85825,11.225,5.03325,103.85175,8.875,2880.00682983446,3792.02771789689,202.002085016416,2831.0065500632,959.997603691412,122.008204642635
Ctenomys sericeus,4.629,413.423,11.575,-0.16675,30.34725,82.25,2768.00557007903,4855.14972113787,218.00654711812,2706.00612358605,305.007384486455,645.978095703393
Ctenomys sociabilis,9.32275,448.3255,12.45,4.34175,65.21975,142.425,2792.00557120735,4357.10869591844,213.005156436131,2739.00334233588,658.007241711244,2166.81663490176
Ctenomys steinbachi,25.6845,166.692375,5.1875,23.28325,65.546,145.075,2971.50090488276,1969.45733063768,129.001463029257,2941.50160097071,518.510021525129,1697.89749110764
Ctenomys talarum,15.662625,499.879375,14.2875,9.670875,25.200375,137.6625,2876.50013911855,4671.91661593181,220.490660114126,2818.50139271528,241.993786173918,1510.49851946764
Ctenomys torquatus,19.854,450.4765,12.875,14.57475,12.673,274.825,2911.00069400625,4342.97633087137,211.999025495084,2856.00111567202,151.995260388398,2889.15961824175
Ctenomys tuconax,12.7885,436.12475,12.275,7.129125,99.43425,11.475,2908.50432081284,4265.52214473358,214.998261831148,2852.50334567044,929.002421341076,163.02409031981
Ctenomys tucumanus,14.1855,429.28475,12.225,8.47475,95.5425,20.925,2926.99777835082,4259.98971680451,214.999861273149,2862.0005614804,904.023794674151,287.958510693503
Ctenomys tulduco,7.23775,586.10375,16.075,-0.00825000000000004,79.042,9.45,2810.00808873177,5744.00235319521,267.000001200298,2735.00767096661,431.041775885339,429.007583887438
Ctenomys validus,11.209375,602.75975,16.6375,3.725125,68.576375,17.575,2899.00341222677,5989.93810901753,277.49791043217,2819.50369087739,614.991805748395,283.47975859414
Ctenomys viperinus,11.3915,429.28475,12.125,6.10825,103.2905,13.65,2892.0054371109,3891.01782537231,211.999305277703,2844.00376523025,918.001656372246,140.008496098595
Ctenomys yolandae,20.97275,485.19425,14.2,14.95825,55.68575,83.675,2923.00125258288,4652.99553639403,223.0005572929,2863.00153109597,504.00012766712,979.014951460638
Cuniculus paca,26.044,91.18575,2.85,25.01675,63.277,123.375,2984.99777039488,856.982581251369,117.995265621556,2974.99958232225,596.011007899113,1278.05841072588
Cuniculus taczanowskii,20.454125,58.654,1.7625,20.13325,36.567,291.2375,2924.00905345736,524.506133370204,99.4972842479983,2916.50884443363,422.018041195834,2717.75331714299
Cuscomys ashaninka,22.631,71.32775,2.15,21.7165,57.10175,157.575,2965.00278451569,637.985241441811,101.000557313223,2955.00292371854,599.003765362348,1986.80459550843
Cuscomys oblativa,21.1145,81.1715,2.5,20.08325,62.31075,116.575,2901.01698749133,691.020069538846,103.999860518722,2890.01656947296,722.973397739484,1040.09542983147
Cyclopes didactylus,26.06025,68.27025,2.075,25.25025,54.64525,204.1,2986.0000001508,607.001945995904,99.9991641236901,2978.00013920744,537.001396541158,1967.95518608844
Dactylomys boliviensis,25.902125,67.69775,2.275,24.954125,61.631,146.0125,2978.50048731028,721.989563520544,107.000557111705,2965.00118363144,565.995061461063,1575.93630804259
Dactylomys dactylinus,26.14475,60.13425,1.9,25.4,54.344125,184.6375,2986.49881762553,556.988166820494,97.0000000698009,2979.00090570082,539.494989315386,1699.8295557455
