Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Neusticurus tatei,25.13025,86.6365,2.8125,24.27075,60.12025,249.6125,2976.50236807059,534.501260785516,94.0013229858328,2969.5036908491,489.014353127596,3017.00511713301
Ninia hudsoni,26.02625,58.904625,1.825,25.3165,45.266,250.9,2985.0000001974,478.49380384586,92.5000002963939,2978.00062681373,446.495408309834,2523.57474624919
Nothobachia ablephara,27.523,130.90625,4.5,25.9415,90.15375,6.05,2995.00111399551,1191.02275487594,138.99735313689,2976.99902404676,925.991082319951,99.0170061559675
Notomabuya frenata,25.86425,136.08975,4.575,24.2165,72.85425,53,2977.0011142948,1392.97103178066,145.999860186757,2954.00236752769,693.004878876453,621.023122237928
Ophiodes fragilis,23.3,217.12325,6.075,20.43325,59.991,103.4,2947.00027571469,2252.94891224637,153.998885643388,2915.99916132929,535.007368576671,1418.91465166792
Ophiodes intermedius,20.17275,498.01675,14.55,14.1,52.83375,66.9,2914.00153127258,4738.97201737033,225.000418577163,2855.00292405553,497.988711151715,760.03750423446
Ophiodes luciae,25.89775,324.85075,9.375,21.48325,45.63525,125.975,2968.99972018048,3255.91338110322,175.998329489188,2925.00055576219,434.987870990326,1385.10119629761
Ophiodes striatus,24.12925,192.67075,5.475,21.71675,72.873,68.525,2954.99679438666,1964.94152081738,151.999720644698,2925.00501297956,703.014620875488,713.973821715484
Ophiodes vertebralis,18.6085,478.78225,13.85,13.06675,15.34025,247.175,2900.00041608211,4583.97855857135,216.999302482966,2841.00097330673,155.996924429971,2535.02521562393
Oxybelis aeneus,25.97525,91.79475,2.85,24.9165,67.7095,87.5,2984.0002786891,859.03424388693,117.998746078345,2973.9997211617,638.002498891628,951.940826236127
Oxybelis fulgidus,26.07725,70.87525,2.2,25.225,57.10175,178.9,2986.0000001508,638.01365991651,102.986208957763,2978.00000003881,563.992480228656,1658.06233676106
Oxyrhopus clathratus,23.66675,197.39875,5.575,20.9585,73.24025,70.25,2951.99832819499,2023.90616404882,150.999302211187,2923.99762979816,677.013644409755,806.055928594995
Oxyrhopus formosus,26.05925,69.193375,2.1,25.2835,54.561,199.5375,2986.0002783611,602.019427353589,100.999094570048,2978.49742477371,538.505018898953,1981.94692217207
Oxyrhopus guibei,25.82725,151.32225,4.8,23.66675,76.775,41.975,2974.0020915598,1540.98746250896,147.000835950892,2949.00223290948,728.992051480663,520.96727731691
Oxyrhopus leucomelas,24.69575,62.531625,1.8125,23.870875,31.043625,323.475,2980.00006964373,539.994845097394,94.4990252716204,2971.49993043688,319.498398754439,2785.45695808249
Oxyrhopus marcapatae,17.9625,110.939,3.325,16.7665,62.31075,118.7,2896.51991242953,1038.98371779715,114.996519063015,2879.02074776755,665.998614894987,1373.53892340775
Oxyrhopus melanogenys,26.06875,70.268,2.125,25.28325,55.3325,198.375,2986.0002784137,601.000412150322,100.001672487977,2978.00097485832,546.997070548477,1945.06930563136
Oxyrhopus occipitalis,26.02825,70.588375,2.1375,25.183375,45.056875,291.55,2986.00160234826,537.499796420125,92.99979090913,2979.0000000809,434.011281181825,2894.4975383703
Oxyrhopus petolarius,26.002,93.14925,2.9,24.9335,64.7795,109.225,2984.00041758915,862.01463493175,118.00027755649,2973.9997211617,604.005156042333,1132.07728056539
