inertia,OMI,Tol,Rtol,omi,tol,rtol
Ischnocnema_manezinho,3.6793706882016,2.46611007064802,0.112122672291323,1.10113794526226,67,3,29.9
Ischnocnema_sambaqui,4.83449566492672,4.07574222623514,0.0408779019059266,0.717875536785654,84.3,0.8,14.8
Hylodes_heyeri,4.12655537121575,2.04499106096604,1.14443736008671,0.937126950162994,49.6,27.7,22.7
Hylodes_perplicatus,4.66301321323864,3.20867046203061,0.217523735318673,1.23681901588936,68.8,4.7,26.5
Scythrophrys_sawayae,4.19107142180963,2.9222947023481,0.156941895902016,1.11183482355952,69.7,3.7,26.5
Brachycephalus_pombali,5.50996695380647,4.31519610319975,0.0638850949353684,1.13088575567135,78.3,1.2,20.5
Brachycephalus_ferruginus,4.83449566492672,4.07574222623514,0.0408779019059266,0.717875536785654,84.3,0.8,14.8
Adenomera_nana,4.19908021089006,2.87086048465225,0.194667200892088,1.13355252534572,68.4,4.6,27
Physalaemus_insperatus,4.09302998862289,3.34748339414637,0.12540324275183,0.620143351724694,81.8,3.1,15.2
Hylodes_cardosoi,3.05514245151549,1.99768885279162,0.699309143786758,0.358144454937108,65.4,22.9,11.7
Hylodes_dactylocinus,4.96858663133017,4.28562142394719,0.00488698564110538,0.678078221741868,86.3,0.1,13.6
Bokermannohyla_izecksohni,0.451662266525508,0.451662266525508,0,0,100,0,0
Proceratophrys_moratoi,0.451662266525508,0.451662266525508,0,0,100,0,0
Holoaden_suarezi,2.40990712336564,0.428233859528106,0.46796160064624,1.51371166319129,17.8,19.4,62.8
Boana_bandeirantes,1.98855034697399,0.424819476649073,0.440072738153375,1.12365813217154,21.4,22.1,56.5
Brachycephalus_margariatus,2.56577271871036,1.12111013362079,0.379304993557647,1.06535759153192,43.7,14.8,41.5
Proceratophrys_belzebul,4.5176697825221,2.78518466811532,1.49956259633519e-05,1.73247011878082,61.7,0,38.3
Proceratophrys_izecksohni,2.5280571537626,1.05493692500445,0.925954163843033,0.547166064915114,41.7,36.6,21.6
Paratelmatobius_cardosoi,2.60642461837236,2.5671083490113,0.0113685261273223,0.0279477432337398,98.5,0.4,1.1
Holoaden_bradei,2.2090878656275,1.36853543653662,0.37291087807114,0.467641551019746,62,16.9,21.2
Hylodes_sazimai,2.44333023679792,1.19911053404467,0.655631509356695,0.588588193396551,49.1,26.8,24.1
Hylodes_uai,4.82227239147043,3.62085947429678,0.201485364022588,0.999927553151059,75.1,4.2,20.7
Paratelmatobius_lutzii,2.2961642147646,1.49452927140455,0.363291058068735,0.438343885291315,65.1,15.8,19.1
Scinax_maracaya,1.87153653956618,1.87153653956618,0,0,100,0,0
Scinax_melloi,1.78225257653152,0.732588722583188,0.0698339661182856,0.979829887830048,41.1,3.9,55
Scinax_duartei,2.51235293011905,1.56106153704045,0.161879056370453,0.789412336708149,62.1,6.4,31.4
Melanophryniscus_moreirae,2.80144438218371,2.20341839100242,0.335746079679111,0.262279911502172,78.7,12,9.4
Brachycephalus_vertebralis,2.05254988753545,0.65276652803539,0.247153370170737,1.15262998932932,31.8,12,56.2
Aplastodiscus_callipygius,3.04921857739065,1.04200669958728,0.894873142988978,1.11233873481439,34.2,29.3,36.5
Bokermannohyla_clepsydra,2.01045333462858,0.321156820893207,0.102856355889492,1.58644015784589,16,5.1,78.9
Hypsiboas_cymbalum,1.46841472535775,1.23087832056466,0.128802449540267,0.108733955252821,83.8,8.8,7.4
Bokermannohyla_gouveai,2.2961642147646,1.49452927140455,0.363291058068735,0.438343885291315,65.1,15.8,19.1
Aplastodiscus_musicus,1.78225257653152,0.732588722583188,0.0698339661182856,0.979829887830048,41.1,3.9,55
Phasmahyla_cochranae,2.11366053946465,1.08451973828989,0.285151394092434,0.743989407082323,51.3,13.5,35.2
Pithecopus_ayeaye,1.54688123415819,1.54688123415819,0,0,100,0,0
Scinax_angrensis,4.50474452236658,4.50474452236658,0,0,100,0,0
Scinax_ariadne,2.05254988753545,0.65276652803539,0.247153370170737,1.15262998932932,31.8,12,56.2
Scinax_atratus,2.737880276285,1.50952259158708,0.459322574952851,0.769035109745066,55.1,16.8,28.1
Scinax_ranki,2.23187573910127,2.10618128147104,0.0556952855779925,0.0699991720522335,94.4,2.5,3.1
Crossodactylus_grandis,1.7635857196625,1.12493423394636,0.194585812939356,0.444065672776785,63.8,11,25.2
Cycloramphus_ohausi,1.78225257653152,0.732588722583188,0.0698339661182856,0.979829887830048,41.1,3.9,55
Crossodactylus_dispar,2.47290360929348,1.08527986585967,0.458220811582792,0.929402931851023,43.9,18.5,37.6
