inertia,OMI,Tol,Rtol,omi,tol,rtol
Sporophila.collaris,2.94398390142143,0.520914913325858,0.984998874080921,1.43807011401465,17.7,33.5,48.8
Stelgidopteryx.ruficollis,5.47002510299172,4.01102500116661,0.413325418341751,1.04567468348336,73.3,7.6,19.1
Netta.erythrophthalma,4.11632491771114,1.32084417230671,0.569920225502898,2.22556051990153,32.1,13.8,54.1
Sporophila.albogularis,7.29563565942826,5.00646224841561,0.310442780703557,1.97873063030909,68.6,4.3,27.1
Synallaxis.frontalis,3.75138265753517,1.2506157562322,0.608274818010135,1.89249208329283,33.3,16.2,50.4
Stephanophorus.diadematus,4.12486033392356,1.63730223917963,1.34780647688439,1.13975161785954,39.7,32.7,27.6
Sublegatus.modestus,3.36247627027374,0.361971128579546,1.33337811832928,1.66712702336492,10.8,39.7,49.6
Synallaxis.ruficapilla,3.51108735057173,0.276536144572193,1.58264842415059,1.65190278184895,7.9,45.1,47
Synallaxis.spixi,4.0862648862834,0.423240214674239,2.08375924717842,1.57926542443074,10.4,51,38.6
Synallaxis.albescens,3.56369502498656,0.0542800407827938,1.62992735658816,1.87948762761561,1.5,45.7,52.7
Synallaxis.cinerascens,3.5285335955335,0.489863901838916,1.62661084139423,1.41205885230035,13.9,46.1,40
Syndactyla.rufosuperciliata,4.02654987926873,1.17030983259472,1.43160917579982,1.42463087087419,29.1,35.6,35.4
Tachycineta.albiventer,3.79773683084042,0.0325292381059931,2.09479978172015,1.67040781101427,0.9,55.2,44
Tachycineta.leucorrhoa,3.48997255139529,0.421559868747803,1.4596820154334,1.60873066721409,12.1,41.8,46.1
Tangara.cyanocephala,4.33010792551685,0.460091136502266,2.31476986186338,1.55524692715121,10.6,53.5,35.9
Tangara.cyanoventris,3.08573679780172,0.933951636996886,0.409291830468784,1.74249333033605,30.3,13.3,56.5
Tangara.preciosa,4.21562140677426,1.93346816498011,1.2373966609912,1.04475658080295,45.9,29.4,24.8
Tangara.seledon,3.88670247060356,0.284174529493945,1.90424334307186,1.69828459803776,7.3,49,43.7
Tersina.viridis,3.89541186967858,0.00983886871787808,2.25360759335538,1.63196540760532,0.3,57.9,41.9
Thamnomanes.caesius,4.88387680365137,2.26740664227308,0.573022861017991,2.0434473003603,46.4,11.7,41.8
Thamnophilus.ambiguus,4.28932534857841,1.50968259445478,0.661140370695743,2.11850238342789,35.2,15.4,49.4
Thamnophilus.caerulescens,3.6615722686698,0.049326400094549,1.7416471032907,1.87059876528455,1.3,47.6,51.1
Thamnophilus.palliatus,4.87465431165728,2.1572986692963,0.77842384394993,1.93893179841105,44.3,16,39.8
Thamnophilus.pelzelni,3.71118990097503,1.66024542328947,0.446671573778142,1.60427290390742,44.7,12,43.2
Thamnophilus.torquatus,3.44524305118346,1.06094170002485,0.620668737409795,1.76363261374881,30.8,18,51.2
Thlypopsis.sordida,3.65168496756036,0.776439183321176,0.963142810614791,1.9121029736244,21.3,26.4,52.4
Tangara.cyanoptera,4.02101270810088,0.105725220958209,0.464111015887921,3.45117647125475,2.6,11.5,85.8
Thripophaga.macroura,4.55245736483317,2.40182816047509,0.510774206030464,1.63985499832761,52.8,11.2,36
Tityra.inquisitor,4.53059504267761,4.53059504267761,0,0,100,0,0
Todirostrum.poliocephalum,2.93126550302846,0.521823260516853,0.505938702770704,1.9035035397409,17.8,17.3,64.9
