Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Setopagis parvula,25.726,154.244625,4.8375,23.375,74.743375,46.2125,2973.49930354595,1574.24743860089,146.99909462617,2948.00069653825,703.00633851631,541.141103521122
Setopagis whitelyi,24.416625,81.656625,2.75,23.370875,53.16,280.8625,2975.50013872048,550.517684755614,96.0013930229434,2966.49986009234,461.507802751362,3324.36391768092
Setophaga striata,26.02725,65.45225,1.95,25.25,42.78975,296.6,2986.00208970629,525.001946373722,89.9994425771964,2979.00027821491,416.997491199497,2943.98172708133
Sicalis citrina,25.35,122.451875,4.1375,24.20825,83.54,28.4,2971.00571262574,1084.99338204846,142.998954219663,2957.99832686874,815.009607081386,338.535438811689
Sicalis columbiana,26.860375,111.866,3.5125,25.85425,77.874625,39.025,2993.99909478219,967.003906633423,119.500557836171,2984.99993083547,774.497914481086,319.520044213294
Sicalis flaveola,25.1365,156.29425,4.9,22.679,69.161875,57.8625,2968.99993098959,1618.44520314694,146.000696261237,2942.00271419299,637.998742873585,633.000013549956
Sicalis luteola,24.99375,186.3725,5.475,22.08325,73.376,54.025,2964.00097395576,1955.9634008377,150.999582063448,2933.00083435794,676.007656116009,676.97869831285
Sirystes albocinereus,25.8875,62.401,1.9,25.00825,49.84375,218.25,2983.99902535023,596.999029341256,100.000278952711,2973.00083573031,491.01363876735,2097.04995509078
Sirystes sibilator,25.94175,106.9615,3.475,25.0085,67.7615,85.125,2981.00069677085,943.001670476586,133.997909411467,2972.0002781359,654.000419420963,951.940826236127
Sirystes subcanescens,26.399,86.343,2.475,25.6085,53.82025,221.8,2989.99923388773,713.508577233938,101.492617539527,2983.00048777545,562.988509139946,2037.52130303603
Sittasomus griseicapillus,25.941625,107.2025,3.325,24.795875,64.2515,100.2125,2982.99401173474,926.003845280036,123.00041789236,2971.00041801826,596.004181378585,1139.01503422351
Spartonoica maluroides,17.877,526.68675,15.2125,11.29175,35.702125,75.65,2896.50041778379,4901.22850510185,232.495682213045,2831.50013981316,359.495187933074,800.035454837177
Spatula platalea,15.30425,443.35375,12.475,9.167,45.63525,55.275,2873.98704488887,4196.98050910848,210.999165056113,2814.00180886506,417.99303458054,599.989577457773
Spatula versicolor,19.4875,450.4765,12.925,14.15825,45.5625,90.75,2912.00153257875,4285.95385668721,212.999024601872,2858.00055526957,415.01934639752,1103.01923367561
Spinus cucullatus,26.96975,66.00025,2.1875,26.008375,55.76275,92.75,2994.4951239345,799.480625656644,92.493592293485,2984.9988163588,622.510303647907,639.511412405924
Spinus magellanicus,23.08025,207.1845,5.925,19.524875,69.19875,56.9125,2947.99992821838,2095.95142106352,152.998467173075,2909.00243844279,645.999359404898,652.555815879214
Spinus yarrellii,27.693875,138.595625,4.3875,26.24575,89.472,19.625,2995.00188060972,1190.49061906016,133.498952382134,2981.00167242049,901.010249471334,132.496508556941
