Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Spizaetus tyrannus,15.63525,373.78425,10.425,16.275,116.3505,823.275,337.98412777282,4213.86661904134,192.997355356628,348.97925313787,1112.96922389179,24962.9911192981
Spiziapteryx circumcincta,17.1335,470.21125,12.975,20.758,88.12925,193.45,292.99400771599,5000.94539656314,184.992212407373,315.99331200912,975.010563669898,2954.03363636623
Sporophila albogularis,5.9145,113.90675,3.375,6.98325,86.7015,267.225,145.99038243178,1724.93743987971,144.998047403773,154.98996416741,1068.94884687131,4192.98885497339
Sporophila americana,3.1685,98.739,2.875,3.04175,50.1505,378.825,151.97575911244,1047.98984518081,114.998746869169,153.97269392842,623.98579176246,5210.66601426005
Sporophila angolensis,18.92275,403.881,11.7,19.05825,104.62425,823.975,341.95572779198,4250.8934952779,192.999164787505,349.96533049761,1100.96292796328,17151.3019033665
Sporophila ardesiaca,5.8915,124.72275,2.8,7.55025,74.18025,318.875,174.97604518312,1591.9323320165,128.997771414227,185.98844211331,819.979654350346,4099.96808654779
Sporophila beltoni,8.3625,279.32025,7.45,11.375,88.23925,423.825,159.99555212959,3480.89834000854,116.999167524836,183.98704774583,919.994573969766,6455.72702981784
Sporophila bouvreuil,9.7125,246.79075,6.425,12.37475,86.7015,282.125,207.97994446042,2982.94766720949,165.996937132477,222.98537986103,1068.94884687131,4667.75019990339
Sporophila bouvronides,11.8,128.91325,3.85,11.8005,85.78425,809.375,315.96865694161,1399.87575437487,130.997353211474,314.9671322111,859.007941841528,17141.2725115778
Sporophila caerulescens,18.579,648.70175,18.15,23.9915,96.466,595.2,330.98468498645,6297.93413080878,273.996799199142,360.99233679715,1035.96335223878,8954.61959749773
Sporophila castaneiventris,14.80825,157.248,4.4,16.2835,76.44625,779.825,337.98412777282,1979.82956539578,175.991924824752,348.97925313787,847.958196649154,17074.2459376429
Sporophila cinnamomea,10.19375,437.3595,12.4,14.55,89.67275,422.25,163.99541327829,4562.95973252716,162.000280418313,186.98830237223,900.994984852613,6461.72257537008
Sporophila collaris,16.6585,466.81575,12.95,20.45025,96.466,390.925,299.96837268446,5017.92975573906,223.997352752084,339.97074021069,1006.98020740967,5603.83815882817
Sporophila crassirostris,11.8,136.35125,3.925,11.39175,96.731,1290.525,311.98899809918,1475.87534138314,135.996935517702,317.98690937796,1048.8874558115,32726.9499936441
Sporophila falcirostris,6.6145,248.07575,7.075,8.6415,75.916,378.85,169.97966433648,3043.96032633415,160.999025367488,179.9870513894,763.994276462321,5557.80041933403
Sporophila fringilloides,3.5875,71.849,2.35,3.79975,56.5125,586.475,176.98147394589,1074.94384819504,70.9963772806385,176.98049916135,604.005013540662,11706.6420176555
Sporophila frontalis,6.4915,270.90475,7.3,8.1915,81.553,387.05,169.97966433648,3244.91771199879,165.993735869803,174.98663301003,822.985651402446,5608.95294408309
Sporophila hypochroma,9.002,439.158,12.5,13.14975,61.4415,264,220.9612950367,4342.99596268485,143.995959530453,231.96157332481,655.002659301814,4639.95691374783
Sporophila hypoxantha,14.70175,471.46475,13.425,17.9335,93.613,419.025,253.97338567518,4748.93076901376,180.987059509637,275.97672979526,1000.96393324289,6461.72257537008
Sporophila iberaensis,0.727,33.25325,1.05,0.9665,9.491,66.95,18.9988860467602,684.058349547191,39.996379703216,21.9990251314298,175.986625129984,1955.94932236355
Sporophila intermedia,10.6295,136.35125,3.975,10.40025,84.43125,1266.1,316.96670689326,1457.9116960413,134.993453519374,314.96809996782,1045.94344531382,32726.9499936441
Sporophila leucoptera,9.1185,402.81475,11.7,10.7835,84.95075,401.3,280.95585104058,4145.95013686042,196.998886748021,286.95571148679,995.972821857081,5545.06043900181
Sporophila lineola,19.2875,468.7635,13.35,23.46675,104.62425,823.975,347.98426734473,5469.79407404387,245.993596568307,356.96962591772,1100.96292796328,17151.3019033665
Sporophila maximiliani,7.52275,222.58425,6,8.6335,63.84675,344.325,193.9799441124,2804.98082858194,154.997910689052,211.98537994319,850.00180112454,4363.87587783645
Sporophila melanogaster,9.1415,247.18675,6.375,12.19975,79.993,397.15,178.98565677894,3114.87820952835,132.986223966813,199.98523921661,855.991645056381,6386.73036867274
Sporophila minuta,10.6295,136.35125,3.975,10.40025,84.43125,1266.1,316.96670689326,1475.87534138314,134.993453519374,319.98732696816,1045.94344531382,32726.9499936441
Sporophila nigricollis,16.41425,327.83775,9.225,16.13325,116.228,1307.175,341.95572779198,3701.94458000224,177.998329214035,349.95433502829,1208.88424822432,32746.9759002536
Sporophila nigrorufa,2.5645,141.933,3.875,2.583,13.29325,65.35,73.9934577156901,1900.92951873551,45.997771718781,79.9942928370101,292.984265249615,1413.86309199443
Sporophila palustris,10.19375,424.85375,12.15,14.55,91.409,423.825,162.99163645631,4362.97423601416,149.995272656259,186.98830237223,940.988298844376,6455.72702981784
Sporophila pileata,9.15,340.54175,9.6,10.77475,79.967,403.575,176.98551847226,3719.95445885175,174.992347355746,184.98607561225,808.001252972672,6309.73051452844
Sporophila plumbea,10.375,344.98125,9.55,13.5,87.05325,470.625,314.96851762572,3685.95139859384,175.999164677939,310.96949292227,930.970322098195,9032.64941310152
Sporophila ruficollis,17.8585,472.1385,13.5,21.52525,102.087,418.8,295.96892988446,5111.92906781681,175.995681164848,337.97101880839,1071.01278600214,6434.71964533557
Steatornis caripensis,18.03525,167.111,4.775,18.2165,99.32625,1268.45,343.97925207781,2597.58670664514,179.988025132652,351.98190018982,1204.89357921871,32737.9541762707
Steganopus tricolor,25.81,661.67225,18.5,30.8335,139.80325,854.75,500.9874672275,8245.4714942963,329.98886048952,566.98997099368,1423.96169121771,28496.0109192509
Stelgidopteryx ruficollis,11.88925,249.87425,7.7,12.55,91.309,411.9,219.97449930721,2824.8445166138,156.999862912912,210.9763107781,1019.96434317109,6418.7221547013
Stephanophorus diadematus,7.09575,329.67525,9.625,9.9,78.12425,387.45,158.97924779577,3595.90413873166,185.987200413842,162.98579927958,820.990236919561,6154.73857593307
Stephanoxis lalandi,5.0645,71.1465,1.625,5.17525,43.65425,194.575,168.97980398111,1200.92476527203,122.994850428656,170.98607543982,699.990251827848,3861.56745710033
