Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Rhinella_quechua,11.67725,47.215,1.3,12.275,36.56625,176.6,213.99067049977,1163.85514767927,103.989001469841,212.99122778936,496.988443068054,4805.18635261612
Rhinella_roqueana,9.6105,36.08625,0.9,9.47525,48.62875,631.525,306.96796647412,1116.84234094786,60.9956828003738,310.96894110049,545.939422892463,16843.0281178833
Rhinella_rostrata,0,0,0,0,0,0,208.9938707857,508.993882569375,57.9969365511105,207.9930349252,226.989275050493,5713.03398585455
Rhinella_rubescens,6.99375,161.35975,4.4,8.342,39.49075,94.375,192.97910864436,1942.96643549917,95.9931872064243,206.98621577794,654.00392117776,2358.74412853166
Rhinella_rubropunctata,5.38975,72.2345,2,6.15825,32.01225,142.325,204.97995239111,4053.80768764243,219.979665256818,225.98120271154,517.982443094975,9076.02335176684
Rhinella_ruizi,1.3105,3.05675,0.175,1.25,9.94225,274.775,218.99094571443,508.993882569375,57.9969365511105,218.98983143144,258.989412749003,6397.86057882492
Rhinella_rumbolli,7.65225,34.78125,0.975,7.36675,17.47075,10.3,268.97785491813,2848.6625777561,134.985786956657,248.98008383168,510.942883004214,776.881905676016
Rhinella_schneideri,21.579,510.5555,14.45,25.667,103.126,424.25,331.97757451213,5438.93004444435,246.997770539004,356.97868876492,1209.96516332687,6469.72075749873
Rhinella_scitula,0.803999999999998,24.59475,0.6,1.1,8.68775,27.025,43.9962410165699,780.99128304563,24.000139408882,41.9970763526899,237.990526034441,1197.99039537438
Rhinella_sclerocephala,0,0,0,0,0,0,85.9820298826799,381.958902754023,111.985512103093,86.9813334140599,321.969634933103,1359.80177543892
Rhinella_sebbeni,1.102,6.73,0.175,1.10025,3.57825,7.475,69.9963801092099,513.973270131882,55.997629217325,77.99763463932,136.996381107078,280.988723611232
Rhinella_spinulosa,21.73325,580.5935,16.3,24.94975,127.68675,404.325,497.96547171936,8245.4714942963,298.980229294199,566.96672253643,1405.95848466232,14885.5007752286
Rhinella_stanlaii,12.39975,56.08975,1.4,13.1335,23.50025,141.175,285.97048287131,1125.74170219916,103.989001469841,293.96825475164,496.928987125143,4775.67978950294
Rhinella_sternosignata,7.081,60.726,1.75,6.19175,49.74375,674.475,291.97785316772,1417.92854509919,118.993591304728,284.97771397509,646.950833360635,8363.69010075544
Rhinella_tacana,0,0,0,0,0,0,236.96058906251,621.913660314659,38.9987464377396,234.96128544877,189.98635162344,3049.72756456086
Rhinella_tenrec,0.971,0.311500000000002,0.0250000000000001,0.99175,12.114,241.425,220.98830111267,430.021588115956,58.9988848311411,218.98857961676,345.993451650292,20043.7002318389
Rhinella_truebae,0,0,0,0,0,0,210.9643451817,541.952643815096,28.9993036747596,210.9637880577,163.990250293756,4252.60532073886
Rhinella_vellardi,0,0,0,0,0,0,208.99247861494,862.88259810648,31.999721682544,203.99470645862,295.98217405682,4341.36317467432
Rhinella_veraguensis,15.006,247.49275,6.65,17.60025,57.26025,398.9,315.98329224908,3120.96449694217,145.985238094021,329.98162173245,714.96629650221,7488.08159152179
Rhinella_veredas,2.723,38.97075,1.25,2.775,14.36325,13.925,68.0015371897503,669.952115557233,39.99790924911,80.0015384858798,163.005572409118,274.98174525636
Rhinella_yanachaga,0,0,0,0,0,0,249.97687999365,519.975760639548,38.9980509234845,256.97604433011,236.984544082577,4636.20878876223
Rhinella_yunga,4.5355,6.0825,0.175,4.6165,14.315,100.825,275.99247803366,740.97381921882,51.9958229312885,280.99303487549,313.986347603905,5255.18650609334
Rhinoderma_darwinii,7.02525,239.588,6.95,6.95,70.4615,540.7,286.96729430215,3919.09391433421,211.003623704097,287.97244605859,827.007520157873,19636.7749714435
Rhinoderma_rufum,2.758,138.818,3.7,1.72525,28.2765,57.6,177.99598610591,3832.86203437573,224.974373102233,197.99139463823,471.983020003952,2462.91975199134
Rulyrana_adiazeta,4.35625,5.50275,0.25,4.35825,10.96925,88.075,219.99512587328,767.990682743307,71.9933140667951,214.99707590597,348.970893050078,7971.93911050268
Rulyrana_flavopunctata,5.248,41.3095,1.275,5.417,45.26525,444.15,322.96545872905,1273.86936676268,52.9962386214173,324.96587604461,550.979944616749,16425.7134537654
Rulyrana_mcdiarmidi,1.8415,8.34625,0.3,1.77525,14.57725,51.225,280.97757231956,1116.84234094786,40.9974919409236,278.97826852703,420.97145231807,11315.5393421969
Rulyrana_saxiscandens,0,0,0,0,0,0,116.99749002261,329.973119657713,31.00013833315,119.99679378715,277.961842718363,2986.01404260094
Rulyrana_spiculata,12.37275,32.09525,0.925,12.45825,22.84825,95.95,315.98329224908,919.967850700488,71.9955437234784,329.98162173245,489.972847120441,6516.60887786151
Rulyrana_susatamai,4.6125,6.80475,0.3,4.55,25.4015,499.425,284.97868918693,798.951398747376,65.9973533756421,277.97980373433,377.97687843539,7256.86949211
