"";"x"
"Ambystoma_ordinarium";-19,3514960531998
"Ambystoma_tigrinum";15,6593349141634
"Ambystoma_californiense";-4,99005327247232
"Ambystoma_annulatum";3,14210890171422
"Ambystoma_bishopi";-6,35744525336463
"Ambystoma_cingulatum";3,45348716211946
"Ambystoma_taylori";-0,0574170124119398
"Ambystoma_gracile";1,36981441565529
"Ambystoma_barbouri";-0,87558862923997
"Ambystoma_texanum";0,590760065774394
"Ambystoma_mabeei";-0,445753524492442
"Ambystoma_flavipiperatum";0,826808974091175
"Ambystoma_amblycephalum";3,89434019983864
"Ambystoma_lermaense";-4,3180715086671
"Ambystoma_maculatum";2,37931957209255
"Ambystoma_macrodactylum";2,37931957209382
"Ambystoma_altamirani";-3,11314110938187
"Ambystoma_jeffersonianum";3,90293999190323
"Ambystoma_laterale";-2,20514982784342
"Ambystoma_bombypellum";0,658059637594429
"Ambystoma_opacum";-1,34551588319697
"Ambystoma_talpoideum";-1,41482103961098
"Dicamptodon_tenebrosus";6,92093166379489
"Dicamptodon_ensatus";8,05980060225379
"Dicamptodon_aterrimus";2,84929206165111
"Dicamptodon_copei";-10,5869564529516
"Proteus_anguinus";0,17650446567539
"Necturus_punctatus";-4,83702475857073
"Necturus_lewisi";3,99293794127646
"Necturus_maculosus";20,2743148444505
"Necturus_beyeri";-5,69798550239421
"Necturus_alabamensis";-6,6308558362058
"Rhyacotriton_olympicus";0,150291143822306
"Rhyacotriton_variegatus";-0,126979110717084
"Rhyacotriton_kezeri";0,0518344079023801
"Rhyacotriton_cascadae";-0,242444204311636
"Amphiuma_tridactylum";10,3697045669296
"Amphiuma_pholeter";-33,5626780421912
"Amphiuma_means";28,4177008337479
"Aneides_aeneus";0,070935967639562
"Aneides_ferreus";-0,0514480095983048
"Aneides_vagrans";-0,46659888374659
"Aneides_flavipunctatus";1,20304873975431
"Aneides_lugubris";1,54052997040452
"Aneides_hardii";-0,727944402016748
"Desmognathus_fuscus";-0,727383735388937
"Desmognathus_welteri";0,754928265642257
"Desmognathus_ochrophaeus";-1,75968751754895
"Desmognathus_ocoee";0,951019833437511
"Desmognathus_orestes";0,0227827285496195
"Desmognathus_apalachicolae";-1,39837928228026
"Desmognathus_brimleyorum";1,15628689499846
"Desmognathus_auriculatus";4,3816548801588
"Desmognathus_santeetlah";-3,17214911590413
"Desmognathus_carolinensis";-1,44813644810101
"Desmognathus_monticola";0,239484192682226
"Desmognathus_imitator";-1,1709914562047
"Desmognathus_aeneus";-2,33890200855047
"Desmognathus_folkertsi";-0,674538726454243
"Desmognathus_quadramaculatus";5,08141266176334
"Desmognathus_marmoratus";-0,473156066914578
"Desmognathus_wrighti";-1,90525207561323
"Phaeognathus_hubrichti";0,992792729663899
"Ensatina_eschscholtzii";0,281559048741094
"Plethodon_albagula";1,70435358126906
"Plethodon_sequoyah";-1,21475910637641
"Plethodon_grobmani";2,7093106167677
"Plethodon_ocmulgee";7,24172998272909
"Plethodon_savannah";-8,3393627465124
"Plethodon_kisatchie";-2,90373266489406
"Plethodon_mississippi";2,8689483993137
"Plethodon_metcalfi";-2,77835467331805
"Plethodon_aureolus";-5,66258950093602
"Plethodon_glutinosus";7,75011958521176
"Plethodon_chattahoochee";-2,67239701978492
"Plethodon_chlorobryonis";4,35542338902145
"Plethodon_variolatus";-5,09101326896471
"Plethodon_cylindraceus";4,39561552288297
"Plethodon_teyahalee";-1,33450705454334
"Plethodon_jordani";1,53902005801406
"Plethodon_caddoensis";-3,91009815732096
"Plethodon_ouachitae";-0,0330290164552121
"Plethodon_kentucki";0,362949130708846
"Plethodon_petraeus";1,22265347084184
"Plethodon_yonahlossee";3,09049501664227
"Plethodon_angusticlavius";-2,59645986633112
"Plethodon_dorsalis";0,465426720769353
"Plethodon_welleri";-2,25331120626716
"Plethodon_punctatus";0,5098374388502
"Plethodon_wehrlei";0,0234222255663594
"Plethodon_websteri";-1,92181685744148
"Plethodon_cinereus";23,6289671960887
"Plethodon_shenandoah";-11,9671002122255
"Plethodon_richmondi";-1,86452457451383
"Plethodon_hubrichti";-3,25642468425088
"Plethodon_nettingi";-4,69805576094678
"Plethodon_hoffmani";-2,18890095553298
"Plethodon_serratus";-2,25330208457835
"Plethodon_elongatus";0,589862892592938
"Plethodon_stormi";-0,319249287742774
"Plethodon_dunni";0,839650945640573
"Plethodon_vehiculum";-0,847543717405404
"Plethodon_idahoensis";0,391184594900691
"Plethodon_vandykei";-0,423487034809073
"Plethodon_larselli";-0,863727281313836
"Plethodon_neomexicanus";0,292063899149476
"Hydromantes_brunus";-0,116483043115105
"Hydromantes_platycephalus";0,323788750689291
"Hydromantes_shastae";-0,353614994454544
"Hemidactylium_scutatum";-0,0671309117223741
"Eurycea_robusta";-0,435471886982503
"Eurycea_chamberlaini";-1,4796958215038
"Eurycea_tonkawae";-3,57698168215859
"Eurycea_tridentifera";1,09521998246163
"Eurycea_nana";-13,9385421711602
"Eurycea_neotenes";12,1281904414285
"Eurycea_sosorum";-2,99207371894794
"Eurycea_troglodytes";-1,9404543908802
"Eurycea_rathbuni";11,7184971909013
"Eurycea_waterlooensis";-10,0512166747949
"Eurycea_quadridigitata";-0,859497918779318
"Eurycea_junaluska";-0,782346607551228
"Eurycea_bislineata";1,35532754636698
"Eurycea_wilderae";-1,3203430951371
"Eurycea_guttolineata";-4,02250278452726
"Eurycea_longicauda";6,02810834357631
"Eurycea_lucifuga";2,26424041300069
"Eurycea_multiplicata";2,84912023274277
"Eurycea_spelaea";1,99145005343688
"Eurycea_tynerensis";-2,56902746989733
"Urspelerpes_brucei";-2,10139433026005
"Gyrinophilus_palleucus";-1,94331328068831
"Gyrinophilus_subterraneus";-3,83944357126258
