"","Species","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"640","Mico chrysoleucos","5.5002089516902","76.4997215282954","51.501044644723","7.5001392758923","26","44.500696563221","263.995959564678"
"641","Mico emiliae","8.99999998059524","66.0002784380011","72.0023686391762","13","24.0001393950006","73.9994434102087","27.0023670246286"
"642","Mico humeralifer","6.99972146770181","75.4998605798903","61.50062743053","8.99993053649888","25.0001392232976","51.5004876982057","214.994774890601"
"643","Mico intermedius","8","64.0002787420011","59.0005579520022","12","25","67.9994435148017","72.0023646717937"
"644","Mico leucippe","7.99972157681286","74.9994427834047","66.0019508723799","9.99986080781342","25","54.0018110173793","197.990802874847"
"645","Mico marcai","7","70.0009746770039","46.9984680537978","9.99986078099944","25.0001392190006","55.9991647248006","149.0064026698"
"646","Mico mauesi","7","74.0004175813007","55.0001401584014","9.49986078470182","25.9998606249994","51.4996522853064","176.504939761462"
"647","Mico melanurus","8.99999999030124","62.0002783820011","136.49477822428","14","23.0001391790006","68.0012532632186","67.9991641861031"
"648","Mico nigriceps","7.00000007000028","71.0001389504025","44.5003489035967","10.4998607829994","25.9998606507001","56.9995825415972","136.50396669093"
"649","Mico rondoni","7.99986080839974","67.0004176136019","53.9991648779966","11.9997215973986","25.0001391916003","61.0001398217978","91.0027834918095"
"650","Mico saterei","6.99979117490392","77.9997911574991","47.0011143145997","8.00006974779818","25.9999303222024","46.5000003076993","239.500344910022"
"651","Microakodontomys transitorius","9.50000000199999","63.9999304162021","110.500699349763","14.9999304065","21.5001390730009","82.0006965590859","21.4989558674949"
"652","Microcavia australis","10.0004174922398","41.0002783126142","538.002014476867","25.0001392096198","8","49.5002779861444","47.0012538719564"
"653","Microcavia niata","13.9998607979115","67.0001391931249","209.004947884114","20.0000698373252","5.00006959319626","117.99644940179","9.50181033095355"
"654","Microcavia shiptoni","11.99979086811","60.9985370255773","325.509538162641","20.0000694464163","1.50111495169903","111.499858090356","8.50146333134393"
"655","Microryzomys altissimus","8","77.0001391922133","58.0009747440274","11.0001392722166","9.00208931482076","61.9974935915578","114.022551320912"
"656","Microryzomys minutus","7.99986069299944","76.9998607700896","59.5012535377511","10.0001392719115","17.0004176642111","47.0028552031465","253.110836529677"
"657","Microsciurus alfari","5.9995821315991","71.9988856356003","52.9956831081881","7.9995821121999","24.9998607403986","44.0005574222","296.022695833595"
"658","Microsciurus flaviventer","7","75.9999304195979","46.0002089504139","9","25","36.999512934402","310.493731159367"
"659","Microsciurus mimulus","5.99930358839916","81.0001393030006","27.9993036014024","6.00083570379907","24.0002785660011","29.0004183490015","462.021708992196"
"660","Microsciurus santanderensis","7.00006965750056","83.9987464278028","27.0038305574952","8.50020897450056","23.4990248100144","37.001984648066","356.468871306729"
"661","Microtus guatemalensis","9.99951257859517","65.9983982448916","125.0130229973","14.4998607783975","16.5009750053049","81.4938025055338","80.5408734994362"
