"Species","rates_bird_svl","rates_bird_litter","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"Synallaxis_infuscata",0.00785924406544748,-0.0123216422919113,"7.99860612024547","66.9970698747407","108.991218523962","9.99916292658078","24.0001394670006","59.9997222259063","88.0007085008614"
"Synallaxis_cinerascens",-0.0147549855859472,0.0030684088373247,"9","51.4993019499373","292.494637848078","15.9998608506985","17.0001391375989","28.0006262220507","249.503419551502"
"Schoeniophylax_phryganophilus",0.0168886016124371,-0.0108604226430625,"9","52.5005565935219","314.494151100168","16.9998608369994","18.0002785682982","57.0004877292948","91.0009725342004"
"Certhiaxis_cinnamomeus",-0.00417645218696263,-0.0248179048683205,"8.9998606203936","63.999860624402","115.998745450971","13.9987449769949","23.0005572405936","63.9995824685906","84.9966626743342"
"Synallaxis_spixi",-0.00969704735562169,0.040046417431836,"9","48.0002785300008","320.995125361563","16.9998606009994","15.500139151301","27.5008348697008","236.505367160676"
"Synallaxis_albescens",-0.0476202494867463,0.00115715926377146,"8.99986078899944","64.9999301816099","107.99435969822","13.0001392072934","23.9997214214031","64.0009046056374","76.0058497881232"
"Synallaxis_frontalis",0.0373127107150305,0.0336178847253583,"9","61.0004179656003","166.996657343591","14.9999999805908","21.0002785466014","72.9991634253897","45.9966578671932"
"Pseudoseisura_cristata",0.0483332450702352,-0.0688553421091073,"9.00000001941005","66.00090569609","140.999653581717","13.9998605569994","23.0004180512974","88.0001398352301","19.5036271771523"
"Asthenes_pyrrholeuca",-0.0186228417705435,0.0592128136302402,"9.99999998060582","43","461.99735550021","22","12.0004177936153","55.0009744422345","65.0058545146315"
"Melanopareia_torquata",-0.00578132071343104,-0.000843762489480886,"9","64.0000000194059","111.99874557752","14.0002785449007","23.0001392773015","77.9995128029031","30.9999291859005"
"Conopophaga_lineata",0.00205249450927082,-0.000375228632064884,"9","58.0004174650017","212.999444490804","15","19.000000264","57.0004130940228","107.012001511327"
"Conopophaga_cearae",-0.00153109004430388,-0.000375228632422797,"7.9988149256208","70.4969339847074","91.9944964822291","10.4989539954961","24.0003481503764","67.0019506146313","61.0022337241335"
"Conopophaga_melanops",-0.00390761633305761,-0.000375228632081912,"7.99860612024547","55.9955382897097","176.001112747563","12.9994415924096","21.0001394430006","54.9998586852178","121.012535299716"
"Terenura_sicki",-0.00652574412407262,-0.000796832357742938,"7.99902373099612","66.9970698747407","115.992331156633","10.9987450644115","23.0004181295858","58.0025086505936","88.0007085008614"
"Terenura_maculata",-0.00565207095131892,-0.000692240385645966,"8.99986059299943","55.9995816039943","222.996374593403","15","18.0002790677952","41.0029210989171","194.002365047602"
"Myrmotherula_minor",-0.0243394343357256,-0.00293643898802343,"6.99944186440962","51.9980470832675","201.990658153391","12.9995813039999","20.9994434188028","46.0011099950343","155.002377867305"
"Thamnomanes_caesius",-0.00256113701082967,-0.00176143054549591,"7.99923351661989","71.000139169588","67.0002791290322","10.0001393790006","25","58.4988853488914","162.494911816508"
"Myrmotherula_unicolor",-0.0101164785169905,0.00252968954956319,"7.99902389040301","48.9952606317294","225.997493221201","13.9987449769949","18.0002790677952","42.0006956985677","205.978837364405"
"Myrmotherula_snowi",-0.0145244042324895,-0.00123373476887367,"6.99930239358133","66.9970698747407","108.991218523962","9.99916292658078","24.0001394670006","58.0025086505936","123.989276879752"
"Formicivora_melanogaster",0.000194401883025996,-0.000130032483643721,"9","63.999860624402","134.995822576477","14.0002785745975","23.0000000388162","79.000556693195","33.0012531699094"
"Formicivora_erythronotos",-0.00112636790492715,0.00293498607513531,"5.00048690450228","39.0025046192049","196.000902920633","10.5006261975026","18.9998611209989","51.0029912831098","130.989418482814"
