generation,rank_1,rank_2,swapAccepted
818000,3,4,0
819000,2,4,0
820000,1,3,0
821000,1,4,0
822000,3,4,0
823000,1,2,0
824000,1,2,0
825000,1,2,0
826000,2,3,0
827000,1,3,0
828000,1,2,0
829000,1,3,0
830000,2,3,0
831000,1,2,0
832000,2,4,0
833000,1,3,0
834000,1,4,0
835000,1,3,0
836000,2,3,0
837000,1,4,0
838000,2,4,0
839000,1,3,0
840000,1,4,0
841000,1,3,0
842000,2,4,0
843000,1,2,0
844000,1,2,0
845000,1,2,0
846000,1,4,0
847000,1,4,0
848000,1,3,0
849000,1,3,0
850000,1,4,0
851000,1,3,0
852000,1,4,0
853000,1,2,0
854000,2,4,0
855000,1,4,0
856000,2,4,0
857000,1,2,0
858000,3,4,0
859000,1,3,0
860000,1,3,0
861000,2,4,0
862000,2,3,0
863000,1,2,0
864000,1,3,0
865000,2,3,0
866000,1,4,0
867000,2,3,0
868000,1,3,0
869000,1,3,0
870000,1,4,0
871000,3,4,0
872000,2,3,0
873000,2,3,0
874000,2,3,0
875000,2,4,0
876000,1,3,0
877000,2,4,0
878000,1,3,0
879000,1,2,0
880000,1,2,0
881000,2,3,0
882000,3,4,0
883000,3,4,0
884000,2,4,0
885000,3,4,0
886000,2,4,0
887000,1,3,0
888000,1,2,0
889000,2,3,0
890000,1,3,0
891000,1,2,0
892000,1,2,0
893000,2,3,0
894000,2,3,0
895000,2,3,0
896000,3,4,0
897000,1,3,0
898000,1,3,0
899000,3,4,0
900000,1,2,0
901000,2,4,0
902000,1,4,0
903000,2,3,0
904000,1,2,0
905000,2,3,0
906000,2,3,0
907000,3,4,0
908000,1,4,0
909000,3,4,0
910000,1,3,0
911000,1,3,0
912000,2,3,0
913000,1,2,0
914000,1,2,0
915000,1,4,0
916000,2,3,0
917000,1,2,0
918000,2,4,0
919000,1,4,0
920000,1,3,0
921000,1,3,0
922000,1,2,0
923000,1,3,0
924000,1,2,0
925000,2,4,0
926000,1,3,0
927000,1,2,0
928000,1,2,0
929000,2,4,0
930000,2,4,0
931000,2,3,0
932000,1,3,0
933000,1,4,0
934000,2,3,0
935000,2,4,0
936000,1,3,0
937000,2,3,0
938000,3,4,0
939000,3,4,0
940000,1,2,0
941000,1,3,0
942000,3,4,0
943000,1,4,0
944000,1,2,0
945000,3,4,0
946000,2,4,0
947000,3,4,0
948000,1,2,0
949000,1,3,0
950000,1,4,0
951000,2,4,0
952000,3,4,0
953000,3,4,0
954000,3,4,0
955000,1,4,0
956000,1,3,0
957000,1,4,0
958000,1,4,0
959000,2,4,0
960000,2,4,0
961000,1,3,0
962000,3,4,0
963000,2,3,0
964000,3,4,0
965000,2,4,0
966000,2,4,0
967000,1,4,0
968000,1,4,0
969000,1,4,0
970000,1,4,0
971000,2,4,0
972000,3,4,0
973000,1,2,0
974000,2,4,0
975000,2,3,0
976000,1,4,0
977000,2,4,0
978000,1,2,0
979000,2,4,0
980000,2,4,0
981000,3,4,0
982000,1,4,0
983000,1,3,0
984000,1,2,0
985000,3,4,0
986000,1,4,0
987000,3,4,0
988000,3,4,0
989000,3,4,0
